timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,-1.99,1.89,0.0,0.0,0.0,0.0,1.0,0.0
1004521,-2.33,1.79,0.057,0.0,0.4,0.059,0.31,0.174
1005521,1.19,1.93,0.051,0.003,0.375,0.088,0.301,0.182
1006521,-1.8,1.93,0.057,0.002,0.393,0.067,0.3,0.181
1007521,-0.37,1.81,0.057,0.001,0.381,0.075,0.292,0.194
1008521,-0.65,1.93,0.065,0.001,0.377,0.059,0.325,0.173
1009521,0.82,2.01,0.052,0.001,0.392,0.062,0.316,0.177
1010521,-0.99,1.79,0.079,0.001,0.355,0.043,0.329,0.193
1011521,2.59,1.9,0.064,0.001,0.367,0.06,0.331,0.177
1012521,0.36,1.88,0.062,0.001,0.385,0.056,0.33,0.166
1013521,-2.19,1.86,0.057,0.0,0.386,0.054,0.332,0.171
1014521,-1.54,1.85,0.058,0.001,0.386,0.054,0.341,0.16
1015521,-1.84,1.75,0.066,0.004,0.374,0.03,0.339,0.187
1016521,-1.65,1.89,0.055,0.0,0.388,0.053,0.341,0.163
1017521,0.04,1.85,0.051,0.002,0.379,0.05,0.352,0.166
1018521,1.21,1.83,0.055,0.002,0.392,0.058,0.325,0.168
1019521,-1.45,1.89,0.054,0.002,0.372,0.052,0.349,0.171
1020521,-0.18,1.83,0.063,0.004,0.366,0.057,0.339,0.171
1021521,0.25,1.89,0.066,0.005,0.381,0.055,0.328,0.165
1022521,-1.7624,1.91,0.075,0.009,0.369,0.05,0.338,0.159
1023521,0.9,1.9,0.078,0.004,0.343,0.057,0.343,0.175
1024521,0.93,1.74,0.089,0.005,0.351,0.036,0.344,0.175
1025521,-1.43,1.96,0.076,0.002,0.374,0.056,0.331,0.161
1026521,-2.25,1.85,0.078,0.006,0.366,0.046,0.335,0.169
1027521,2.69,1.81,0.079,0.003,0.369,0.042,0.335,0.172
1028521,-1.77,1.79,0.078,0.006,0.362,0.05,0.341,0.163
1029521,0.97,1.82,0.064,0.002,0.395,0.041,0.336,0.162
1030521,-1.68,1.71,0.069,0.01,0.383,0.044,0.327,0.167
1031521,-1.83,1.82,0.076,0.002,0.368,0.039,0.343,0.172
1032521,0.42,1.86,0.079,0.002,0.377,0.043,0.333,0.166
1033521,1.67,1.84,0.088,0.002,0.37,0.024,0.331,0.185
1034521,-1.19,1.83,0.072,0.001,0.369,0.037,0.343,0.178
1035521,-0.49,1.77,0.082,0.001,0.355,0.027,0.348,0.187
1036521,2.49,1.82,0.086,0.001,0.375,0.038,0.333,0.167
1037521,1.57,1.81,0.098,0.002,0.351,0.04,0.358,0.151
1038521,-1.51,1.73,0.099,0.003,0.36,0.031,0.357,0.15
1039521,-0.6,1.83,0.092,0.004,0.359,0.045,0.372,0.128
1040521,-0.6996,1.83,0.095,0.005,0.368,0.047,0.341,0.144
1041521,0.3,1.85,0.103,0.002,0.34,0.047,0.359,0.149
1042521,-0.08,1.87,0.094,0.006,0.369,0.029,0.366,0.136
1043521,-0.78,1.82,0.119,0.005,0.348,0.039,0.336,0.153
1044521,-3.02,1.85,0.11,0.002,0.354,0.04,0.348,0.146
1045521,-0.05,1.74,0.102,0.003,0.362,0.028,0.352,0.153
1046521,0.34,1.79,0.129,0.001,0.334,0.051,0.34,0.145
1047521,1.72,1.87,0.127,0.0,0.34,0.046,0.361,0.126
1048521,-0.7,1.79,0.133,0.002,0.352,0.04,0.33,0.143
1049521,3.22,1.79,0.135,0.001,0.34,0.047,0.344,0.133
1050521,-1.02,1.75,0.137,0.002,0.344,0.033,0.353,0.131
1051521,-1.73,1.72,0.136,0.001,0.348,0.033,0.35,0.132
1052521,-0.46,1.65,0.135,0.003,0.341,0.03,0.351,0.14
1053521,-1.29,1.75,0.106,0.0,0.36,0.032,0.341,0.161
1054521,0.1968,1.77,0.115,0.001,0.341,0.033,0.34,0.17
1055521,-3.4,1.82,0.122,0.001,0.344,0.047,0.341,0.145
1056521,-0.53,1.75,0.113,0.001,0.344,0.045,0.337,0.16
1057521,0.38,1.61,0.131,0.0,0.343,0.041,0.338,0.147
1058521,1.01,1.66,0.144,0.001,0.353,0.035,0.338,0.129
1059521,2.72,1.75,0.137,0.003,0.332,0.036,0.348,0.144
1060521,0.36,1.85,0.138,0.003,0.337,0.029,0.357,0.136
1061521,0.41,1.75,0.124,0.003,0.348,0.033,0.338,0.154
1062521,-1.3,1.63,0.146,0.0,0.336,0.031,0.342,0.145
1063521,1.84,1.61,0.152,0.0,0.322,0.036,0.345,0.145
1064521,-0.2432,1.69,0.145,0.0,0.328,0.037,0.35,0.14
1065521,0.03,1.74,0.144,0.001,0.342,0.045,0.342,0.126
1066521,0.78,1.78,0.146,0.0,0.338,0.045,0.339,0.132
1067521,1.56,1.69,0.158,0.001,0.35,0.033,0.344,0.114
1068521,1.29,1.75,0.141,0.001,0.338,0.039,0.36,0.121
1069521,1.35,1.75,0.144,0.001,0.343,0.035,0.343,0.134
1070521,-0.22,1.67,0.125,0.0,0.359,0.044,0.349,0.123
1071521,0.51,1.84,0.12,0.001,0.387,0.029,0.343,0.12
1072521,-1.75,1.68,0.113,0.0,0.377,0.044,0.32,0.146
1073521,-1.43,1.81,0.12,0.0,0.365,0.053,0.338,0.124
1074521,1.76,1.82,0.127,0.0,0.357,0.05,0.338,0.128
1075521,2.59,1.62,0.133,0.0,0.355,0.038,0.338,0.136
1076521,2.92,1.71,0.125,0.0,0.368,0.044,0.327,0.136
1077521,-0.52,1.71,0.136,0.0,0.345,0.05,0.339,0.13
1078521,-0.51,1.67,0.131,0.002,0.347,0.064,0.326,0.13
1079521,-0.2,1.78,0.131,0.0,0.355,0.059,0.331,0.124
1080521,-1.39,1.7,0.14,0.002,0.344,0.049,0.33,0.135
1081521,0.566,1.69,0.141,0.001,0.354,0.053,0.333,0.118
1082521,-2.49,1.78,0.158,0.001,0.335,0.052,0.343,0.111
1083521,0.41,1.8,0.141,0.0,0.337,0.045,0.347,0.13
1084521,-1.4032,1.68,0.166,0.001,0.335,0.041,0.333,0.124
1085521,2.6,1.76,0.149,0.001,0.333,0.047,0.34,0.13
1086521,2.27,1.68,0.149,0.0,0.341,0.042,0.341,0.127
1087521,-2.11,1.63,0.169,0.001,0.323,0.038,0.348,0.121
1088521,-1.42,1.64,0.178,0.001,0.329,0.053,0.333,0.106
1089521,2.51,1.61,0.169,0.001,0.326,0.062,0.341,0.101
1090521,0.43,1.65,0.161,0.001,0.306,0.065,0.338,0.129
1091521,0.02,1.78,0.16,0.0,0.321,0.06,0.33,0.129
1092521,0.34,1.78,0.162,0.0,0.34,0.056,0.332,0.11
1093521,1.22,1.65,0.154,0.002,0.312,0.068,0.346,0.118
1094521,1.53,1.58,0.186,0.003,0.316,0.035,0.35,0.11
1095521,0.16,1.51,0.202,0.001,0.293,0.05,0.341,0.113
1096521,1.82,1.66,0.181,0.002,0.301,0.057,0.337,0.122
1097521,-3.8,1.65,0.177,0.001,0.309,0.065,0.337,0.111
1098521,2.36,1.66,0.188,0.004,0.287,0.075,0.33,0.116
1099521,-0.68,1.47,0.203,0.002,0.293,0.058,0.34,0.104
1100521,-0.89,1.69,0.203,0.003,0.289,0.045,0.342,0.118
1101521,-0.53,1.63,0.165,0.002,0.326,0.048,0.335,0.124
1102521,-0.98,1.61,0.196,0.0,0.286,0.056,0.35,0.112
1103521,0.78,1.76,0.188,0.001,0.317,0.043,0.326,0.125
1104521,-0.464,1.57,0.207,0.0,0.281,0.06,0.332,0.12
1105521,2.2,1.7,0.178,0.001,0.33,0.07,0.317,0.104
1106521,0.11,1.62,0.202,0.0,0.31,0.041,0.328,0.119
1107521,-1.87,1.57,0.216,0.002,0.273,0.036,0.339,0.134
1108521,-1.46,1.59,0.202,0.0,0.305,0.036,0.344,0.113
1109521,1.16,1.65,0.199,0.001,0.305,0.049,0.341,0.105
1110521,-2.03,1.74,0.197,0.004,0.316,0.049,0.328,0.106
1111521,-4.764,1.59,0.2,0.0,0.31,0.043,0.339,0.108
1112521,-0.58,1.68,0.213,0.001,0.289,0.064,0.334,0.099
1113521,0.9,1.62,0.212,0.0,0.287,0.064,0.338,0.099
1114521,-0.5,1.7,0.183,0.001,0.312,0.051,0.345,0.108
1115521,-0.384,1.56,0.21,0.0,0.3,0.051,0.338,0.101
1116521,-2.27,1.65,0.209,0.001,0.309,0.07,0.335,0.076
1117521,0.906,1.64,0.224,0.001,0.297,0.038,0.344,0.096
1118521,-0.026,1.64,0.209,0.001,0.293,0.045,0.348,0.104
1119521,-0.6072,1.6,0.238,0.0,0.281,0.046,0.346,0.089
1120521,1.536,1.59,0.229,0.003,0.272,0.037,0.362,0.097
1121521,-3.504,1.64,0.228,0.003,0.289,0.037,0.355,0.088
1122521,-0.538,1.55,0.243,0.0,0.275,0.032,0.343,0.107
1123521,0.296,1.59,0.217,0.002,0.302,0.041,0.357,0.081
1124521,0.37,1.61,0.211,0.0,0.297,0.042,0.346,0.104
1125521,-0.428,1.59,0.232,0.0,0.305,0.045,0.339,0.079
1126521,0.386,1.63,0.214,0.0,0.322,0.035,0.356,0.073
1127521,1.296,1.55,0.228,0.001,0.303,0.04,0.349,0.079
1128521,1.592,1.53,0.225,0.001,0.316,0.037,0.339,0.082
1129521,0.286,1.51,0.224,0.0,0.29,0.049,0.349,0.088
