phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,1005569,-0.6554,1.7,0.0,0.0,0.0,0.0,1.0,0.0
2,1006569,0.3726,1.84,0.067,0.101,0.189,0.007,0.451,0.185
2,1007569,-0.782,1.74,0.075,0.112,0.193,0.01,0.441,0.169
2,1008569,-0.8528,1.68,0.082,0.09,0.191,0.006,0.455,0.176
2,1009569,-0.724,1.84,0.09,0.1,0.195,0.004,0.439,0.172
2,1010569,0.842,1.76,0.092,0.098,0.189,0.009,0.436,0.176
2,1011569,0.582,1.78,0.082,0.092,0.185,0.009,0.434,0.198
2,1012569,2.012,1.71,0.084,0.095,0.179,0.013,0.444,0.185
2,1013569,0.5006,1.64,0.09,0.105,0.184,0.009,0.445,0.167
2,1014569,-0.2054,1.81,0.086,0.102,0.191,0.01,0.441,0.17
2,1015569,1.122,1.71,0.071,0.104,0.198,0.007,0.442,0.178
2,1016569,-0.294,1.75,0.084,0.103,0.195,0.003,0.442,0.173
2,1017569,-0.764,1.85,0.082,0.093,0.178,0.008,0.454,0.185
2,1018569,1.4966,1.81,0.098,0.105,0.179,0.007,0.435,0.176
2,1019569,1.6902,1.72,0.093,0.102,0.175,0.004,0.439,0.187
2,1020569,0.74,1.79,0.083,0.101,0.174,0.005,0.441,0.196
2,1021569,0.542,1.67,0.082,0.106,0.174,0.006,0.434,0.198
2,1022569,-0.432,1.77,0.072,0.112,0.198,0.003,0.438,0.177
2,1023569,-0.2422,1.78,0.083,0.102,0.192,0.003,0.441,0.179
2,1024569,3.1312,1.78,0.086,0.107,0.184,0.001,0.443,0.179
2,1025569,0.9826,1.81,0.09,0.097,0.202,0.002,0.439,0.17
2,1026569,1.226,1.79,0.083,0.108,0.203,0.002,0.435,0.169
2,1027569,1.654,1.78,0.08,0.096,0.197,0.004,0.44,0.183
2,1028569,0.736,1.81,0.07,0.102,0.191,0.005,0.442,0.19
2,1029569,-0.096,1.72,0.084,0.101,0.194,0.003,0.44,0.178
2,1030569,1.714,1.63,0.083,0.09,0.204,0.002,0.437,0.184
2,1031569,1.398,1.8,0.077,0.101,0.194,0.0,0.446,0.182
2,1032569,0.19,1.8,0.075,0.102,0.171,0.003,0.454,0.195
2,1033569,1.0038,1.84,0.088,0.096,0.183,0.0,0.457,0.176
2,1034569,0.442,1.77,0.099,0.084,0.184,0.002,0.435,0.196
2,1035569,2.016,1.65,0.09,0.098,0.204,0.0,0.444,0.164
2,1036569,0.916,1.72,0.086,0.097,0.175,0.0,0.438,0.204
2,1037569,1.472,1.85,0.081,0.074,0.195,0.003,0.444,0.203
2,1038569,-0.0634,1.66,0.105,0.083,0.176,0.002,0.444,0.19
2,1039569,-0.8776,1.86,0.081,0.1,0.183,0.003,0.454,0.179
2,1040569,-0.1808,1.67,0.112,0.087,0.173,0.0,0.443,0.185
2,1041569,0.134,1.72,0.075,0.097,0.203,0.0,0.433,0.192
2,1042569,0.87,1.72,0.078,0.084,0.178,0.002,0.456,0.202
2,1043569,-2.3074,1.89,0.084,0.097,0.21,0.0,0.439,0.17
2,1044569,-0.746,1.78,0.094,0.101,0.21,0.004,0.429,0.162
2,1045569,0.4806,1.79,0.085,0.086,0.204,0.002,0.447,0.176
2,1046569,0.4046,1.81,0.09,0.089,0.173,0.001,0.446,0.201
2,1047569,-0.082,1.75,0.084,0.077,0.176,0.003,0.465,0.195
2,1048569,-0.006,1.67,0.09,0.091,0.181,0.0,0.452,0.186
2,1049569,0.9072,1.83,0.099,0.091,0.155,0.0,0.449,0.206
2,1050569,0.584,1.66,0.105,0.085,0.187,0.0,0.44,0.183
2,1051569,0.3946,1.78,0.095,0.1,0.185,0.003,0.437,0.18
2,1052569,0.558,1.8,0.086,0.086,0.19,0.001,0.445,0.192
2,1053569,1.7086,1.6,0.077,0.089,0.192,0.003,0.448,0.191
2,1054569,1.2552,1.78,0.095,0.093,0.182,0.001,0.441,0.188
2,1055569,1.408,1.72,0.11,0.079,0.178,0.001,0.449,0.183
