timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
501761,1.3382,3.05,0.0,1.0,0.0,0.0,0.0,0.0
502761,1.2812,3.12,0.242,0.456,0.08,0.06,0.015,0.147
503761,3.2068,3.06,0.241,0.459,0.081,0.066,0.014,0.139
504761,0.4956,3.02,0.275,0.463,0.064,0.061,0.005,0.132
505761,1.2926,3.05,0.252,0.456,0.08,0.064,0.011,0.137
506761,1.4332,3.06,0.236,0.433,0.099,0.076,0.013,0.143
507761,1.2454,3.03,0.241,0.465,0.083,0.056,0.005,0.15
508761,1.5402,3.08,0.259,0.45,0.074,0.079,0.009,0.129
509761,2.754,3.12,0.273,0.448,0.081,0.059,0.017,0.122
510761,0.8212,3.06,0.231,0.449,0.103,0.069,0.007,0.141
511761,0.3454,3.04,0.24,0.453,0.116,0.055,0.015,0.121
512761,4.0192,2.87,0.247,0.421,0.092,0.073,0.02,0.147
513761,1.8794,2.9,0.261,0.442,0.095,0.061,0.023,0.118
514761,1.6306,3.13,0.255,0.423,0.108,0.074,0.016,0.124
515761,3.9724,3.06,0.251,0.422,0.108,0.065,0.022,0.132
516761,2.7016,3.04,0.247,0.442,0.084,0.072,0.007,0.148
517761,3.0678,3.23,0.266,0.448,0.095,0.056,0.011,0.124
518761,0.9214,3.22,0.242,0.428,0.115,0.055,0.028,0.132
519761,3.7068,3.15,0.254,0.417,0.114,0.063,0.018,0.134
520761,3.3328,2.86,0.219,0.418,0.115,0.078,0.018,0.152
521761,2.4206,3.05,0.247,0.415,0.113,0.078,0.018,0.129
522761,0.4088,3.14,0.262,0.415,0.107,0.07,0.017,0.129
523761,1.0794,2.95,0.232,0.426,0.104,0.074,0.017,0.147
524761,2.0722,2.94,0.251,0.417,0.098,0.07,0.019,0.145
525761,1.9768,2.99,0.221,0.426,0.113,0.082,0.016,0.142
526761,0.6872,3.1,0.251,0.431,0.107,0.063,0.02,0.128
527761,3.8216,2.89,0.257,0.42,0.105,0.058,0.022,0.138
528761,3.2864,3.02,0.245,0.41,0.098,0.076,0.027,0.144
529761,2.5028,3.08,0.244,0.409,0.114,0.074,0.027,0.132
530761,2.8074,3.04,0.224,0.409,0.119,0.076,0.018,0.154
531761,0.2166,3.14,0.281,0.416,0.105,0.065,0.015,0.118
532761,2.6444,3.06,0.254,0.443,0.107,0.059,0.021,0.116
533761,-0.2464,3.21,0.253,0.426,0.101,0.061,0.023,0.136
534761,2.2676,3.13,0.251,0.422,0.09,0.077,0.014,0.146
535761,0.6476,3.08,0.263,0.428,0.099,0.076,0.004,0.13
536761,1.3314,3.05,0.257,0.395,0.128,0.071,0.01,0.139
537761,2.5236,2.97,0.236,0.409,0.099,0.079,0.014,0.163
538761,1.9776,3.06,0.26,0.424,0.098,0.068,0.017,0.133
539761,3.4016,3.1,0.272,0.427,0.107,0.061,0.019,0.114
540761,1.716,3.13,0.268,0.428,0.101,0.053,0.017,0.133
541761,3.0036,3.09,0.276,0.405,0.096,0.059,0.02,0.144
542761,0.1742,2.97,0.258,0.399,0.1,0.071,0.016,0.156
543761,-0.3388,3.16,0.285,0.429,0.081,0.057,0.016,0.132
544761,1.3926,3.0,0.255,0.402,0.115,0.069,0.022,0.137
545761,1.5044,3.14,0.263,0.429,0.098,0.057,0.014,0.139
546761,-0.8804,3.03,0.288,0.42,0.107,0.053,0.015,0.117
547761,1.6548,3.1,0.244,0.393,0.109,0.075,0.023,0.156
548761,2.9204,3.03,0.267,0.409,0.114,0.053,0.022,0.135
549761,-0.2864,3.06,0.259,0.434,0.103,0.063,0.015,0.126
550761,1.159,2.94,0.23,0.43,0.121,0.062,0.008,0.149
551761,2.0952,3.13,0.255,0.409,0.116,0.065,0.012,0.143
552761,-0.1596,3.19,0.249,0.417,0.118,0.065,0.016,0.135
553761,1.4034,3.21,0.27,0.417,0.102,0.067,0.014,0.13
554761,2.47,3.13,0.282,0.428,0.089,0.057,0.014,0.13
555761,0.678,3.05,0.258,0.436,0.106,0.056,0.008,0.136
556761,0.33,2.83,0.278,0.424,0.106,0.06,0.007,0.125
557761,2.173,3.04,0.274,0.413,0.111,0.061,0.01,0.131
558761,0.5116,2.86,0.266,0.397,0.122,0.074,0.014,0.127
559761,1.2136,2.95,0.271,0.425,0.122,0.056,0.01,0.116
560761,2.8424,3.0,0.26,0.395,0.124,0.067,0.019,0.135
561761,1.2788,2.88,0.258,0.395,0.131,0.074,0.013,0.129
562761,2.3592,2.98,0.226,0.38,0.156,0.076,0.017,0.145
563761,1.4802,3.04,0.255,0.41,0.123,0.067,0.015,0.13
564761,1.1006,3.06,0.251,0.394,0.137,0.079,0.01,0.129
565761,2.2874,2.94,0.273,0.394,0.126,0.078,0.012,0.117
566761,2.005,3.08,0.238,0.414,0.125,0.069,0.01,0.144
567761,3.4904,3.1,0.272,0.385,0.126,0.082,0.01,0.125
568761,0.418,2.88,0.243,0.395,0.146,0.07,0.01,0.136
569761,1.3216,3.01,0.244,0.407,0.147,0.066,0.018,0.118
570761,3.8244,2.89,0.255,0.412,0.117,0.066,0.015,0.135
571761,2.5684,2.98,0.232,0.382,0.143,0.092,0.014,0.137
572761,0.4856,2.91,0.247,0.399,0.143,0.072,0.013,0.126
573761,-0.2822,3.07,0.26,0.409,0.117,0.067,0.019,0.128
574761,4.3136,3.04,0.239,0.407,0.139,0.071,0.019,0.125
575761,1.8024,2.89,0.247,0.397,0.137,0.074,0.019,0.126
576761,-0.5414,2.82,0.241,0.415,0.116,0.08,0.016,0.132
577761,5.3102,2.83,0.224,0.381,0.133,0.09,0.017,0.155
578761,1.499,3.18,0.228,0.392,0.139,0.091,0.018,0.132
579761,0.2288,2.99,0.251,0.417,0.121,0.074,0.016,0.121
580761,0.3224,3.08,0.28,0.4,0.104,0.077,0.021,0.118
581761,1.9448,2.93,0.258,0.411,0.129,0.068,0.011,0.123
582761,0.4584,3.06,0.271,0.398,0.125,0.062,0.031,0.113
583761,1.1512,3.17,0.251,0.391,0.132,0.085,0.017,0.124
584761,1.5728,2.94,0.253,0.384,0.107,0.099,0.017,0.14
585761,0.8684,2.96,0.235,0.387,0.143,0.08,0.016,0.139
586761,2.9472,3.06,0.263,0.4,0.117,0.075,0.018,0.127
587761,2.844,2.86,0.261,0.383,0.135,0.08,0.012,0.129
588761,4.467,2.89,0.252,0.368,0.13,0.082,0.017,0.151
589761,1.2668,2.97,0.283,0.38,0.126,0.074,0.012,0.125
590761,-0.8152,2.86,0.251,0.395,0.11,0.092,0.008,0.144
591761,-0.34,3.07,0.267,0.38,0.138,0.082,0.011,0.122
592761,1.6816,3.06,0.242,0.412,0.125,0.077,0.018,0.126
593761,1.2212,2.93,0.256,0.402,0.111,0.081,0.017,0.133
594761,1.882,3.07,0.234,0.426,0.113,0.074,0.015,0.138
595761,1.5216,3.04,0.263,0.425,0.094,0.075,0.015,0.128
596761,-0.198,3.01,0.251,0.409,0.123,0.073,0.013,0.131
597761,3.642,2.75,0.243,0.399,0.104,0.086,0.014,0.154
598761,2.533,2.85,0.242,0.411,0.109,0.073,0.012,0.153
599761,2.2484,3.12,0.244,0.4,0.117,0.094,0.019,0.126
600761,1.8524,3.16,0.249,0.424,0.108,0.075,0.015,0.129
601761,2.9516,2.77,0.232,0.43,0.1,0.082,0.018,0.138
602761,1.752,2.84,0.22,0.415,0.127,0.082,0.013,0.143
603761,3.0268,2.86,0.249,0.404,0.099,0.088,0.02,0.14
604761,3.3132,3.04,0.251,0.405,0.106,0.067,0.023,0.148
605761,2.1552,2.82,0.252,0.39,0.11,0.082,0.026,0.14
606761,3.1156,2.92,0.264,0.405,0.106,0.08,0.019,0.126
607761,2.6828,2.99,0.231,0.392,0.117,0.089,0.026,0.145
608761,0.5816,2.95,0.24,0.382,0.108,0.093,0.018,0.159
609761,0.9098,2.91,0.258,0.414,0.099,0.073,0.024,0.132
610761,1.0852,2.88,0.224,0.421,0.103,0.091,0.02,0.141
611761,1.2194,2.59,0.242,0.39,0.108,0.093,0.02,0.147
612761,2.0904,2.77,0.232,0.372,0.109,0.109,0.022,0.156
613761,2.8034,2.78,0.232,0.415,0.112,0.085,0.026,0.13
614761,2.5832,3.04,0.242,0.413,0.101,0.085,0.023,0.136
615761,2.9332,2.72,0.24,0.416,0.098,0.082,0.023,0.141
616761,1.592,2.77,0.232,0.437,0.102,0.076,0.013,0.14
617761,2.4436,2.93,0.237,0.434,0.103,0.073,0.011,0.142
618761,2.0396,2.95,0.225,0.427,0.102,0.082,0.021,0.143
619761,-0.8134,2.8,0.229,0.41,0.099,0.088,0.024,0.15
620761,1.5366,2.75,0.239,0.433,0.094,0.076,0.017,0.141
621761,0.5232,2.83,0.23,0.42,0.102,0.085,0.014,0.149
622761,2.6084,3.02,0.214,0.402,0.116,0.085,0.023,0.16
623761,1.6108,2.84,0.245,0.409,0.098,0.095,0.009,0.144
624761,3.79,2.75,0.241,0.392,0.107,0.087,0.013,0.16
625761,1.6052,2.92,0.227,0.423,0.104,0.081,0.017,0.148
626761,1.692,2.81,0.232,0.394,0.107,0.084,0.028,0.155
627761,3.4482,2.77,0.226,0.421,0.101,0.063,0.02,0.169
628761,0.33,3.05,0.238,0.411,0.104,0.092,0.018,0.137
629761,3.9422,2.7,0.21,0.4,0.11,0.092,0.018,0.17
630761,0.8184,2.71,0.219,0.391,0.099,0.108,0.012,0.171
631761,1.104,2.93,0.224,0.398,0.128,0.084,0.018,0.148
632761,2.2368,2.88,0.229,0.396,0.101,0.093,0.022,0.159
633761,3.2472,2.95,0.245,0.408,0.109,0.084,0.02,0.134
634761,1.4038,2.83,0.252,0.423,0.095,0.081,0.012,0.137
635761,1.0094,2.84,0.218,0.413,0.11,0.092,0.021,0.146
636761,2.5464,3.03,0.233,0.407,0.116,0.096,0.017,0.131
637761,0.0,2.74,0.252,0.388,0.122,0.081,0.018,0.139
638761,0.7048,2.84,0.223,0.409,0.11,0.091,0.015,0.152
639761,0.8508,2.85,0.24,0.4,0.108,0.09,0.015,0.147
640761,3.8618,2.84,0.228,0.422,0.116,0.08,0.022,0.132
641761,0.76,2.87,0.266,0.377,0.11,0.103,0.012,0.132
642761,2.499,2.93,0.249,0.393,0.09,0.091,0.021,0.156
643761,1.6904,2.95,0.248,0.385,0.1,0.101,0.024,0.142
644761,4.7178,2.59,0.255,0.388,0.099,0.103,0.01,0.145
645761,1.2438,2.9,0.234,0.412,0.084,0.098,0.017,0.155
646761,1.0168,2.85,0.24,0.411,0.097,0.103,0.008,0.141
647761,2.5678,2.94,0.258,0.404,0.09,0.099,0.008,0.141
648761,1.4572,2.79,0.242,0.395,0.09,0.092,0.011,0.17
649761,2.444,2.85,0.256,0.38,0.088,0.113,0.024,0.139
650761,1.2756,2.8,0.248,0.379,0.103,0.118,0.016,0.136
651761,0.3806,2.88,0.288,0.433,0.074,0.077,0.016,0.112
652761,1.393,2.6,0.256,0.405,0.077,0.112,0.019,0.131
653761,1.2234,2.81,0.244,0.409,0.08,0.105,0.013,0.149
654761,2.8422,2.73,0.268,0.405,0.076,0.103,0.009,0.139
655761,1.2242,2.69,0.258,0.394,0.095,0.103,0.013,0.137
656761,2.799,2.66,0.242,0.385,0.106,0.111,0.008,0.148
657761,3.9568,2.71,0.262,0.399,0.093,0.098,0.01,0.138
658761,1.9142,2.73,0.25,0.367,0.1,0.117,0.008,0.158
659761,0.3658,2.56,0.239,0.364,0.094,0.127,0.01,0.166
660761,0.998,2.7,0.238,0.387,0.097,0.111,0.013,0.154
661761,2.0314,2.65,0.249,0.368,0.089,0.132,0.016,0.146
