timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1400833,4.839,1.84,0.0,1.0,0.0,0.0,0.0,0.0
1401833,0.882,1.85,0.16,0.115,0.001,0.003,0.534,0.187
1402833,0.008,1.85,0.165,0.112,0.0,0.007,0.538,0.178
1403833,0.884,1.88,0.127,0.133,0.001,0.004,0.547,0.188
1404833,1.3716,1.78,0.154,0.113,0.0,0.006,0.544,0.183
1405833,1.138,1.88,0.17,0.111,0.001,0.003,0.526,0.189
1406833,3.52,1.79,0.141,0.124,0.0,0.007,0.541,0.187
1407833,-0.33,1.88,0.143,0.118,0.001,0.007,0.552,0.179
1408833,-1.822,1.69,0.153,0.118,0.0,0.004,0.54,0.185
1409833,-1.6636,1.86,0.154,0.121,0.001,0.008,0.54,0.176
1410833,2.542,1.79,0.154,0.121,0.001,0.005,0.521,0.198
1411833,-2.062,1.88,0.147,0.123,0.0,0.007,0.569,0.154
1412833,1.776,1.9,0.148,0.122,0.001,0.003,0.584,0.142
1413833,-1.418,1.82,0.165,0.115,0.0,0.002,0.579,0.139
1414833,-0.266,1.96,0.154,0.123,0.001,0.005,0.565,0.152
1415833,-1.3684,1.87,0.15,0.121,0.001,0.003,0.579,0.146
1416833,0.198,1.83,0.135,0.13,0.0,0.007,0.571,0.157
1417833,-1.812,1.88,0.128,0.138,0.0,0.005,0.581,0.148
1418833,1.284,1.88,0.149,0.122,0.001,0.005,0.597,0.126
1419833,1.334,1.77,0.155,0.119,0.0,0.008,0.574,0.144
1420833,-0.4796,1.94,0.122,0.139,0.001,0.01,0.577,0.151
1421833,1.208,1.99,0.138,0.136,0.001,0.006,0.582,0.137
1422833,-0.796,1.99,0.133,0.138,0.0,0.004,0.586,0.139
1423833,2.888,2.03,0.145,0.128,0.0,0.005,0.585,0.137
1424833,1.152,1.98,0.145,0.124,0.0,0.004,0.596,0.131
1425833,0.61,1.99,0.134,0.137,0.0,0.006,0.607,0.116
1426833,-1.364,1.86,0.136,0.138,0.0,0.004,0.596,0.126
1427833,0.82,2.0,0.143,0.131,0.002,0.001,0.597,0.126
1428833,2.624,2.0,0.147,0.126,0.001,0.004,0.587,0.135
1429833,0.762,1.84,0.168,0.122,0.0,0.005,0.58,0.125
1430833,-0.96,1.79,0.157,0.131,0.0,0.002,0.59,0.12
1431833,0.984,1.93,0.133,0.13,0.0,0.003,0.641,0.093
1432833,3.188,1.91,0.145,0.125,0.0,0.001,0.633,0.096
1433833,0.736,1.78,0.14,0.132,0.0,0.004,0.625,0.099
1434833,-1.346,1.99,0.137,0.133,0.001,0.005,0.633,0.091
1435833,-0.434,1.79,0.129,0.133,0.0,0.004,0.638,0.096
1436833,-0.934,1.89,0.142,0.124,0.0,0.005,0.636,0.093
1437833,-0.5504,1.92,0.131,0.129,0.0,0.006,0.642,0.092
1438833,2.494,1.87,0.134,0.125,0.0,0.004,0.65,0.087
1439833,1.246,1.97,0.133,0.129,0.0,0.003,0.633,0.102
1440833,1.426,1.91,0.142,0.127,0.0,0.001,0.637,0.093
1441833,0.02,1.87,0.146,0.124,0.0,0.003,0.629,0.098
1442833,-0.198,1.95,0.135,0.131,0.0,0.006,0.608,0.12
1443833,1.038,1.88,0.14,0.126,0.0,0.002,0.631,0.101
1444833,-0.8,1.91,0.131,0.139,0.0,0.0,0.617,0.113
1445833,2.888,1.99,0.123,0.132,0.0,0.006,0.637,0.102
1446833,0.676,1.95,0.12,0.146,0.0,0.002,0.641,0.091
1447833,3.302,1.87,0.154,0.122,0.0,0.005,0.63,0.089
1448833,-0.476,1.89,0.151,0.12,0.0,0.005,0.615,0.109
1449833,-0.3768,1.73,0.171,0.108,0.0,0.005,0.614,0.102
1450833,-0.762,1.82,0.16,0.119,0.0,0.002,0.616,0.103
1451833,0.73,2.03,0.149,0.124,0.0,0.006,0.608,0.113
1452833,1.67,1.86,0.16,0.123,0.0,0.006,0.584,0.127
1453833,1.2844,1.87,0.161,0.113,0.001,0.006,0.598,0.121
1454833,2.266,1.8,0.165,0.111,0.001,0.003,0.607,0.113
1455833,0.008,1.78,0.184,0.101,0.0,0.002,0.598,0.115
1456833,2.248,1.89,0.163,0.118,0.0,0.002,0.581,0.136
1457833,0.064,1.78,0.188,0.102,0.002,0.005,0.571,0.132
1458833,-1.558,1.81,0.15,0.125,0.0,0.008,0.581,0.136
1459833,-0.348,1.68,0.154,0.13,0.0,0.003,0.567,0.146
1460833,-1.832,1.9,0.156,0.113,0.0,0.003,0.606,0.122
1461833,-0.018,1.79,0.153,0.126,0.0,0.001,0.599,0.121
1462833,-0.814,1.89,0.164,0.117,0.0,0.006,0.608,0.105
1463833,0.498,1.76,0.164,0.12,0.0,0.003,0.587,0.126
1464833,0.782,1.78,0.19,0.1,0.0,0.003,0.605,0.102
1465833,-0.624,1.93,0.173,0.108,0.0,0.001,0.621,0.097
1466833,0.61,1.84,0.169,0.113,0.0,0.003,0.624,0.091
1467833,0.382,1.92,0.159,0.123,0.0,0.003,0.625,0.09
1468833,0.126,1.82,0.165,0.118,0.0,0.007,0.61,0.1
1469833,-1.912,1.88,0.155,0.126,0.0,0.003,0.616,0.1
1470833,1.3,1.88,0.165,0.126,0.0,0.004,0.593,0.112
1471833,-2.92,1.8,0.169,0.118,0.0,0.003,0.614,0.096
1472833,0.118,1.96,0.148,0.132,0.0,0.007,0.614,0.099
1473833,1.594,1.85,0.158,0.129,0.0,0.003,0.604,0.106
1474833,-0.622,1.86,0.158,0.121,0.0,0.002,0.613,0.106
1475833,-0.532,1.91,0.151,0.139,0.0,0.001,0.619,0.09
1476833,-2.368,1.87,0.158,0.125,0.0,0.002,0.597,0.118
1477833,0.376,1.97,0.145,0.132,0.0,0.001,0.624,0.098
1478833,-0.836,1.85,0.155,0.134,0.0,0.002,0.595,0.114
1479833,-1.464,1.77,0.168,0.126,0.0,0.006,0.59,0.11
1480833,1.4964,1.86,0.146,0.141,0.0,0.002,0.606,0.105
1481833,-1.726,1.98,0.149,0.131,0.001,0.001,0.615,0.103
1482833,0.548,1.73,0.2,0.108,0.0,0.003,0.589,0.1
1483833,1.958,1.94,0.14,0.154,0.0,0.002,0.597,0.107
1484833,-0.166,1.87,0.158,0.136,0.0,0.002,0.587,0.117
1485833,-0.256,1.89,0.165,0.125,0.0,0.003,0.596,0.111
1486833,-3.628,1.88,0.17,0.117,0.0,0.003,0.6,0.11
1487833,-1.568,1.86,0.19,0.117,0.0,0.003,0.585,0.105
1488833,-1.61,1.9,0.168,0.132,0.001,0.004,0.578,0.117
1489833,1.08,1.96,0.178,0.114,0.0,0.006,0.582,0.12
1490833,0.176,1.91,0.166,0.134,0.0,0.001,0.593,0.106
1491833,-2.266,1.89,0.157,0.129,0.0,0.0,0.606,0.108
1492833,-1.702,1.98,0.172,0.123,0.0,0.004,0.575,0.126
1493833,0.344,1.98,0.144,0.126,0.0,0.002,0.618,0.11
1494833,0.516,1.87,0.17,0.134,0.0,0.004,0.596,0.096
1495833,1.25,1.92,0.143,0.144,0.0,0.004,0.601,0.108
1496833,-0.512,1.87,0.176,0.116,0.0,0.001,0.608,0.099
1497833,0.32,1.82,0.132,0.142,0.0,0.003,0.606,0.117
1498833,2.2816,1.93,0.162,0.123,0.0,0.009,0.599,0.107
1499833,0.408,2.04,0.146,0.135,0.0,0.015,0.592,0.112
1500833,0.856,1.83,0.175,0.116,0.0,0.002,0.605,0.102
1501184,-3.002,1.86,0.1738,0.1168,0.0,0.0,0.5869,0.1225
