timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
501761,3.6852,1.73,0.0,0.0,0.0,0.0,1.0,0.0
502761,0.784,1.74,0.069,0.193,0.006,0.007,0.384,0.341
503761,0.64,1.75,0.068,0.203,0.007,0.015,0.374,0.333
504761,-0.1568,1.68,0.069,0.203,0.008,0.008,0.381,0.331
505761,0.438,1.69,0.077,0.172,0.009,0.015,0.387,0.34
506761,1.974,1.69,0.063,0.193,0.0,0.014,0.389,0.341
507761,1.9636,1.74,0.071,0.178,0.001,0.012,0.392,0.346
508761,0.2892,1.65,0.074,0.185,0.008,0.028,0.375,0.33
509761,-1.502,1.73,0.056,0.197,0.008,0.016,0.376,0.347
510761,0.9672,1.71,0.049,0.196,0.012,0.022,0.367,0.354
511761,-1.064,1.67,0.061,0.179,0.007,0.01,0.385,0.358
512761,0.82,1.68,0.087,0.162,0.012,0.019,0.385,0.335
513761,-0.552,1.61,0.074,0.17,0.006,0.024,0.387,0.339
514761,1.704,1.67,0.068,0.161,0.01,0.014,0.4,0.347
515761,0.6632,1.61,0.061,0.174,0.005,0.013,0.393,0.354
516761,0.968,1.65,0.075,0.17,0.009,0.013,0.387,0.346
517761,1.4978,1.77,0.095,0.183,0.008,0.01,0.387,0.317
518761,1.694,1.72,0.065,0.19,0.007,0.013,0.382,0.343
519761,-1.3288,1.72,0.088,0.171,0.005,0.013,0.39,0.333
520761,-0.9312,1.71,0.097,0.194,0.008,0.011,0.366,0.324
521761,2.76,1.67,0.072,0.18,0.008,0.013,0.387,0.34
522761,1.102,1.6,0.088,0.172,0.011,0.011,0.385,0.333
523761,-2.8628,1.69,0.101,0.167,0.015,0.017,0.383,0.317
524761,-0.436,1.73,0.099,0.161,0.005,0.014,0.4,0.321
525761,-0.626,1.73,0.093,0.165,0.009,0.012,0.398,0.323
526761,0.3512,1.6,0.093,0.148,0.013,0.018,0.395,0.333
527761,1.19,1.65,0.106,0.154,0.01,0.017,0.397,0.316
528761,1.508,1.6,0.113,0.162,0.01,0.024,0.39,0.301
529761,2.298,1.69,0.107,0.166,0.006,0.019,0.384,0.318
530761,-0.312,1.65,0.116,0.148,0.005,0.022,0.386,0.323
531761,2.458,1.64,0.093,0.176,0.005,0.025,0.363,0.338
532761,2.908,1.63,0.116,0.172,0.005,0.016,0.375,0.316
533761,1.46,1.55,0.121,0.16,0.007,0.022,0.381,0.309
534761,0.608,1.47,0.129,0.152,0.009,0.021,0.392,0.297
535761,0.9952,1.48,0.144,0.141,0.008,0.016,0.397,0.294
536761,2.1412,1.53,0.138,0.149,0.008,0.019,0.378,0.308
537761,1.2612,1.56,0.155,0.127,0.007,0.02,0.405,0.286
538761,2.064,1.61,0.13,0.132,0.016,0.017,0.409,0.296
539761,2.306,1.64,0.142,0.133,0.006,0.019,0.412,0.288
540761,0.75,1.54,0.136,0.144,0.007,0.018,0.41,0.285
