timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1089521,1.296,1.52,0.134,0.08,0.088,0.022,0.442,0.234
1090521,-0.102,1.47,0.139,0.079,0.1,0.019,0.439,0.224
1091521,1.21,1.54,0.16,0.083,0.071,0.018,0.433,0.235
1092521,0.45,1.4,0.161,0.079,0.075,0.024,0.441,0.22
1093521,0.702,1.45,0.141,0.073,0.08,0.016,0.445,0.245
1094521,-0.824,1.63,0.129,0.08,0.073,0.018,0.44,0.26
1095521,1.0772,1.5,0.156,0.081,0.083,0.02,0.43,0.23
1096521,1.238,1.46,0.135,0.089,0.09,0.024,0.432,0.23
1097521,-0.034,1.57,0.138,0.083,0.095,0.026,0.43,0.228
1098521,1.1224,1.47,0.142,0.076,0.081,0.022,0.45,0.229
1099521,2.104,1.34,0.2,0.069,0.078,0.026,0.433,0.194
1100521,1.102,1.34,0.155,0.072,0.088,0.021,0.439,0.225
1101521,0.176,1.43,0.173,0.073,0.086,0.019,0.436,0.213
1102521,-0.164,1.52,0.145,0.081,0.091,0.02,0.427,0.236
1103521,1.7472,1.4,0.159,0.078,0.088,0.021,0.435,0.219
1104521,-0.258,1.52,0.16,0.06,0.075,0.019,0.459,0.227
1105521,1.052,1.52,0.164,0.075,0.088,0.026,0.434,0.213
1106521,2.458,1.5,0.146,0.077,0.099,0.023,0.431,0.224
1107521,0.474,1.43,0.179,0.072,0.082,0.021,0.44,0.206
1108521,-0.828,1.5,0.146,0.075,0.088,0.022,0.44,0.229
1109521,1.0,1.5,0.138,0.091,0.097,0.03,0.426,0.218
1110521,0.004,1.42,0.171,0.072,0.085,0.02,0.442,0.21
1111521,1.314,1.44,0.161,0.097,0.096,0.019,0.427,0.2
1112521,1.328,1.47,0.17,0.073,0.073,0.024,0.442,0.218
1113521,0.848,1.44,0.155,0.092,0.091,0.022,0.43,0.21
1114521,1.774,1.46,0.161,0.071,0.08,0.016,0.439,0.233
1115521,1.7456,1.45,0.159,0.077,0.079,0.03,0.438,0.217
1116521,1.206,1.49,0.122,0.103,0.085,0.033,0.431,0.226
1117521,0.66,1.52,0.15,0.087,0.097,0.022,0.427,0.217
1118521,0.022,1.47,0.15,0.092,0.09,0.027,0.418,0.223
1119521,0.868,1.43,0.162,0.065,0.067,0.021,0.464,0.221
1120521,0.996,1.46,0.163,0.09,0.082,0.025,0.434,0.206
1121521,0.12,1.48,0.137,0.096,0.078,0.036,0.43,0.223
1122521,1.646,1.37,0.164,0.087,0.067,0.027,0.444,0.211
1123521,2.0056,1.49,0.15,0.09,0.072,0.038,0.434,0.216
1124521,1.132,1.53,0.131,0.093,0.069,0.043,0.435,0.229
1125521,-0.8988,1.56,0.141,0.104,0.068,0.029,0.434,0.224
1126521,-0.658,1.48,0.16,0.079,0.064,0.032,0.44,0.225
1127521,1.916,1.52,0.129,0.094,0.071,0.041,0.422,0.243
1128521,1.8472,1.38,0.156,0.068,0.081,0.03,0.44,0.225
1129521,1.6812,1.49,0.118,0.086,0.072,0.051,0.439,0.234
1130521,1.674,1.41,0.143,0.077,0.076,0.033,0.442,0.229
1131521,1.716,1.47,0.103,0.095,0.077,0.042,0.442,0.241
1132521,0.4704,1.49,0.139,0.081,0.07,0.045,0.426,0.239
1133521,1.114,1.38,0.138,0.074,0.075,0.041,0.441,0.231
1134521,0.222,1.42,0.116,0.077,0.059,0.043,0.452,0.253
1135521,-0.834,1.54,0.113,0.089,0.079,0.055,0.431,0.233
1136521,0.942,1.38,0.144,0.096,0.091,0.041,0.426,0.202
1137521,-0.6608,1.57,0.142,0.092,0.091,0.044,0.427,0.204
1138521,0.9,1.46,0.138,0.081,0.071,0.047,0.435,0.228
1139521,1.576,1.53,0.125,0.08,0.076,0.037,0.438,0.244
1140521,1.028,1.4,0.14,0.082,0.077,0.029,0.44,0.232
1141521,0.338,1.42,0.135,0.076,0.076,0.022,0.45,0.241
1142521,0.1932,1.4,0.134,0.084,0.085,0.029,0.43,0.238
1143521,1.948,1.51,0.144,0.079,0.098,0.021,0.429,0.229
1144521,1.624,1.46,0.128,0.085,0.09,0.025,0.437,0.235
1145521,1.628,1.48,0.15,0.083,0.094,0.025,0.432,0.216
1146521,1.87,1.44,0.147,0.089,0.099,0.02,0.419,0.226
1147521,-0.014,1.51,0.124,0.091,0.11,0.023,0.431,0.221
1148521,1.1312,1.55,0.131,0.088,0.099,0.02,0.433,0.229
1149521,-0.722,1.43,0.119,0.091,0.087,0.028,0.446,0.229
1150521,1.364,1.51,0.118,0.09,0.121,0.014,0.426,0.231
1151521,-0.946,1.45,0.124,0.091,0.102,0.022,0.428,0.233
1152521,1.186,1.53,0.138,0.101,0.096,0.019,0.435,0.211
1153521,-0.584,1.49,0.135,0.08,0.077,0.026,0.447,0.235
1154521,1.9692,1.47,0.132,0.092,0.09,0.032,0.425,0.229
1155521,-0.5528,1.54,0.128,0.104,0.097,0.025,0.421,0.225
1156521,-0.292,1.54,0.121,0.096,0.086,0.024,0.442,0.231
1157521,2.56,1.53,0.121,0.093,0.09,0.023,0.441,0.232
1158521,1.304,1.47,0.135,0.091,0.087,0.023,0.441,0.223
1159521,1.312,1.56,0.122,0.081,0.082,0.032,0.446,0.237
1160521,-0.426,1.58,0.133,0.095,0.096,0.035,0.42,0.221
1161521,1.022,1.51,0.136,0.086,0.089,0.025,0.446,0.218
1162521,1.316,1.59,0.146,0.088,0.084,0.033,0.428,0.221
1163521,0.098,1.48,0.123,0.09,0.1,0.033,0.425,0.229
1164521,0.422,1.43,0.126,0.104,0.098,0.031,0.424,0.217
1165521,0.5432,1.48,0.131,0.097,0.084,0.037,0.429,0.222
1166521,1.06,1.44,0.144,0.086,0.1,0.023,0.439,0.208
1167521,1.2812,1.44,0.13,0.089,0.093,0.028,0.439,0.221
1168521,0.414,1.5,0.146,0.081,0.103,0.021,0.424,0.225
1169521,1.174,1.46,0.131,0.096,0.105,0.017,0.434,0.217
1170521,1.168,1.49,0.149,0.088,0.106,0.012,0.431,0.214
1171521,0.094,1.48,0.143,0.091,0.106,0.018,0.43,0.212
1172521,0.0432,1.54,0.148,0.091,0.105,0.02,0.428,0.208
1173521,1.036,1.48,0.142,0.085,0.112,0.014,0.43,0.217
1174521,1.134,1.44,0.147,0.102,0.1,0.037,0.426,0.188
1175521,-0.198,1.46,0.162,0.091,0.111,0.025,0.424,0.187
1176521,-0.914,1.54,0.147,0.081,0.106,0.03,0.427,0.209
1177521,-0.566,1.51,0.163,0.07,0.081,0.032,0.436,0.218
1178521,1.556,1.52,0.159,0.086,0.096,0.034,0.43,0.195
1179521,0.484,1.41,0.137,0.092,0.084,0.039,0.443,0.205
1180521,-0.97,1.53,0.147,0.087,0.11,0.027,0.433,0.196
1181521,0.516,1.42,0.156,0.088,0.094,0.032,0.428,0.202
1182521,1.458,1.41,0.129,0.078,0.091,0.035,0.436,0.231
1183521,0.19,1.5,0.163,0.072,0.087,0.03,0.445,0.203
1184521,0.22,1.48,0.128,0.077,0.085,0.025,0.452,0.233
1185521,0.454,1.51,0.133,0.098,0.096,0.04,0.422,0.211
1186521,1.398,1.53,0.127,0.091,0.1,0.029,0.43,0.223
1187521,0.9932,1.53,0.152,0.092,0.105,0.024,0.422,0.205
1188521,0.502,1.58,0.158,0.087,0.098,0.029,0.426,0.202
1189521,0.966,1.46,0.153,0.083,0.102,0.02,0.431,0.211
1190521,-0.262,1.51,0.16,0.077,0.098,0.031,0.435,0.199
1191521,2.226,1.55,0.142,0.084,0.088,0.033,0.445,0.208
1192521,1.66,1.51,0.137,0.089,0.113,0.034,0.423,0.204
1193521,-0.022,1.44,0.148,0.088,0.086,0.035,0.431,0.212
1194521,-0.9,1.58,0.158,0.072,0.101,0.024,0.442,0.203
1195521,0.3632,1.58,0.148,0.087,0.09,0.037,0.426,0.212
1196521,2.1752,1.49,0.175,0.081,0.084,0.03,0.43,0.2
1197521,0.4276,1.61,0.146,0.081,0.109,0.027,0.427,0.21
1198521,1.284,1.5,0.16,0.061,0.092,0.019,0.454,0.214
1199521,0.882,1.5,0.157,0.079,0.104,0.019,0.434,0.207
1200521,0.258,1.48,0.168,0.083,0.112,0.019,0.423,0.195
1201521,0.472,1.44,0.158,0.088,0.097,0.03,0.429,0.198
1202521,0.554,1.52,0.144,0.086,0.099,0.036,0.436,0.199
1203521,2.366,1.5,0.167,0.076,0.101,0.025,0.437,0.194
1204521,0.956,1.48,0.18,0.066,0.101,0.024,0.431,0.198
1205521,1.29,1.5,0.159,0.078,0.091,0.024,0.444,0.204
1206521,0.146,1.48,0.143,0.066,0.088,0.018,0.457,0.228
1207521,0.732,1.38,0.148,0.074,0.12,0.015,0.428,0.215
1208521,1.254,1.4,0.166,0.07,0.099,0.02,0.443,0.202
1209521,0.67,1.51,0.164,0.066,0.086,0.01,0.459,0.215
1210521,0.9412,1.46,0.163,0.076,0.104,0.021,0.432,0.204
1211521,1.7798,1.51,0.178,0.08,0.108,0.015,0.43,0.189
1212521,2.576,1.48,0.157,0.081,0.108,0.018,0.434,0.202
1213521,-0.582,1.54,0.157,0.077,0.108,0.011,0.441,0.206
1214521,1.208,1.44,0.165,0.081,0.114,0.01,0.419,0.211
1215521,1.0732,1.45,0.167,0.07,0.1,0.01,0.444,0.209
1216521,0.046,1.44,0.18,0.061,0.108,0.01,0.443,0.198
1217521,1.0598,1.48,0.147,0.069,0.115,0.005,0.446,0.218
1218521,1.4472,1.47,0.145,0.079,0.105,0.013,0.444,0.214
1219521,1.528,1.58,0.152,0.075,0.1,0.006,0.443,0.224
1220521,0.726,1.54,0.163,0.084,0.112,0.01,0.43,0.201
1221521,0.292,1.38,0.162,0.08,0.11,0.007,0.436,0.205
1222521,0.122,1.48,0.164,0.074,0.104,0.014,0.438,0.206
1223521,1.082,1.42,0.19,0.079,0.119,0.008,0.43,0.174
1224521,-0.522,1.53,0.138,0.076,0.101,0.012,0.455,0.218
1225521,1.5312,1.45,0.15,0.08,0.098,0.009,0.453,0.21
1226521,0.086,1.47,0.153,0.091,0.125,0.005,0.427,0.199
1227521,1.38,1.51,0.155,0.082,0.118,0.005,0.442,0.198
1228521,1.92,1.45,0.169,0.076,0.124,0.007,0.434,0.19
1229521,1.3872,1.5,0.187,0.063,0.099,0.009,0.446,0.196
1230521,0.658,1.48,0.162,0.076,0.118,0.01,0.44,0.194
1231521,1.112,1.33,0.151,0.082,0.125,0.011,0.431,0.2
1232521,0.432,1.46,0.173,0.082,0.117,0.004,0.428,0.196
1233521,1.378,1.44,0.164,0.074,0.116,0.006,0.448,0.192
1234521,1.912,1.39,0.153,0.076,0.113,0.008,0.448,0.202
1235521,1.356,1.46,0.171,0.063,0.112,0.002,0.459,0.193
1236521,0.4872,1.46,0.165,0.061,0.1,0.01,0.455,0.209
1237521,2.334,1.42,0.191,0.084,0.126,0.005,0.426,0.168
1238521,0.864,1.44,0.162,0.074,0.117,0.004,0.449,0.194
1239521,-0.386,1.47,0.167,0.075,0.126,0.006,0.429,0.197
1240521,0.084,1.44,0.155,0.079,0.136,0.004,0.435,0.191
1241521,0.106,1.32,0.194,0.062,0.102,0.01,0.457,0.175
1242521,0.584,1.33,0.182,0.058,0.1,0.003,0.455,0.202
1243521,-0.06,1.41,0.175,0.068,0.112,0.001,0.445,0.199
1244521,0.644,1.47,0.15,0.078,0.13,0.001,0.443,0.198
1245521,2.7878,1.37,0.148,0.074,0.121,0.004,0.453,0.2
1246521,0.9894,1.42,0.19,0.059,0.101,0.003,0.454,0.193
1247521,1.49,1.49,0.169,0.071,0.109,0.004,0.446,0.201
1248521,1.2,1.53,0.15,0.08,0.121,0.001,0.444,0.204
1249521,2.1,1.5,0.173,0.074,0.102,0.002,0.441,0.208
1250521,1.158,1.4,0.18,0.053,0.087,0.002,0.466,0.212
1251521,0.856,1.49,0.181,0.061,0.126,0.002,0.452,0.178
1252521,0.912,1.51,0.165,0.073,0.105,0.002,0.446,0.209
1253521,-0.506,1.39,0.169,0.063,0.119,0.001,0.457,0.191
1254521,1.422,1.36,0.177,0.055,0.097,0.005,0.459,0.207
1255521,1.866,1.41,0.177,0.065,0.105,0.005,0.456,0.192
1256521,0.9032,1.54,0.176,0.075,0.116,0.003,0.443,0.187
1257521,-0.11,1.39,0.192,0.056,0.103,0.002,0.455,0.192
1258521,0.596,1.38,0.169,0.065,0.122,0.008,0.455,0.181
1259521,2.362,1.38,0.157,0.067,0.108,0.008,0.45,0.21
1260521,1.746,1.47,0.18,0.066,0.105,0.004,0.45,0.195
1261521,-0.38,1.39,0.184,0.073,0.117,0.001,0.431,0.194
1262521,-1.084,1.5,0.173,0.073,0.124,0.002,0.426,0.202
1263521,1.196,1.41,0.158,0.083,0.132,0.004,0.432,0.191
1264521,1.376,1.41,0.161,0.075,0.129,0.003,0.449,0.183
1265521,1.678,1.52,0.178,0.067,0.125,0.003,0.447,0.18
1266521,0.78,1.49,0.164,0.058,0.122,0.002,0.463,0.191
1267521,0.022,1.43,0.175,0.069,0.122,0.003,0.439,0.192
1268521,-0.174,1.37,0.152,0.065,0.114,0.003,0.455,0.211
1269521,0.94,1.54,0.173,0.071,0.122,0.001,0.445,0.188
1270521,1.328,1.41,0.161,0.063,0.119,0.004,0.461,0.192
1271521,0.688,1.56,0.158,0.074,0.124,0.005,0.434,0.205
1272521,1.012,1.46,0.183,0.056,0.113,0.001,0.444,0.203
1273521,0.204,1.43,0.167,0.061,0.117,0.0,0.446,0.209
1274521,-0.25,1.57,0.158,0.068,0.126,0.001,0.445,0.202
1275521,0.418,1.37,0.176,0.055,0.119,0.002,0.451,0.197
1276521,1.684,1.49,0.158,0.06,0.132,0.001,0.451,0.198
