timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
88000,0.5692,3.45,0.047,0.371,0.29,0.108,0.124,0.06
89000,1.0416,3.5,0.04,0.391,0.312,0.061,0.127,0.069
90000,1.8518,3.43,0.042,0.378,0.285,0.093,0.135,0.067
91000,-0.4268,3.39,0.033,0.399,0.302,0.086,0.104,0.076
92000,1.4006,3.43,0.035,0.365,0.325,0.081,0.122,0.072
93000,1.607,3.55,0.052,0.366,0.32,0.091,0.099,0.072
94000,1.551,3.43,0.036,0.339,0.337,0.093,0.116,0.079
95000,0.7676,3.35,0.043,0.389,0.309,0.096,0.084,0.079
96000,0.4928,3.34,0.053,0.378,0.319,0.085,0.09,0.075
97000,-0.1612,3.39,0.054,0.402,0.273,0.092,0.1,0.079
98000,1.5932,3.35,0.06,0.394,0.279,0.099,0.095,0.073
99000,0.462,3.43,0.062,0.395,0.276,0.081,0.104,0.082
100000,0.5394,3.37,0.051,0.354,0.285,0.104,0.113,0.093
101000,1.9752,3.42,0.049,0.354,0.288,0.114,0.114,0.081
102000,1.004,3.53,0.056,0.354,0.293,0.123,0.108,0.066
103000,-1.164,3.37,0.06,0.359,0.289,0.117,0.104,0.071
104000,1.8498,3.39,0.041,0.336,0.305,0.127,0.101,0.09
105000,0.283,3.45,0.064,0.385,0.272,0.109,0.08,0.09
106000,-1.8028,3.51,0.064,0.383,0.281,0.11,0.078,0.084
107000,1.153,3.33,0.054,0.348,0.292,0.128,0.101,0.077
108000,1.34,3.47,0.054,0.339,0.313,0.131,0.093,0.07
109000,2.473,3.48,0.06,0.369,0.283,0.102,0.11,0.076
110000,2.6574,3.6,0.069,0.389,0.252,0.124,0.09,0.076
111000,0.6236,3.56,0.059,0.373,0.257,0.124,0.117,0.07
112000,-0.568,3.58,0.066,0.335,0.256,0.137,0.121,0.085
113000,-2.0646,3.43,0.073,0.351,0.266,0.135,0.098,0.077
114000,-0.1594,3.42,0.057,0.341,0.281,0.119,0.115,0.087
115000,1.853,3.41,0.07,0.361,0.289,0.134,0.071,0.075
116000,3.8854,3.36,0.067,0.349,0.287,0.118,0.102,0.077
117000,-0.1234,3.5,0.066,0.359,0.276,0.137,0.084,0.078
118000,-0.8868,3.4,0.062,0.343,0.332,0.119,0.064,0.08
119000,0.226,3.55,0.063,0.346,0.335,0.108,0.069,0.079
120000,0.5982,3.54,0.075,0.361,0.293,0.127,0.067,0.077
121000,3.3,3.31,0.062,0.342,0.307,0.128,0.074,0.087
122000,1.997,3.49,0.065,0.372,0.289,0.123,0.08,0.071
123000,-0.098,3.54,0.087,0.362,0.281,0.126,0.074,0.07
124000,3.8336,3.24,0.066,0.312,0.295,0.14,0.084,0.103
125000,3.036,3.44,0.076,0.348,0.288,0.144,0.052,0.092
126000,1.1978,3.54,0.066,0.319,0.317,0.137,0.074,0.087
127000,5.09,3.24,0.049,0.307,0.305,0.163,0.083,0.093
128000,1.0488,3.41,0.055,0.338,0.307,0.152,0.067,0.081
129000,2.2176,3.3,0.061,0.361,0.305,0.121,0.062,0.09
130000,1.4444,3.54,0.076,0.388,0.265,0.12,0.059,0.092
131000,1.0982,3.62,0.052,0.36,0.314,0.129,0.076,0.069
132000,1.0558,3.41,0.081,0.377,0.267,0.126,0.065,0.084
133000,4.7648,3.55,0.065,0.388,0.27,0.121,0.055,0.101
134000,4.59,3.36,0.054,0.384,0.285,0.127,0.064,0.086
135000,-3.1154,3.52,0.051,0.407,0.29,0.128,0.043,0.081
136000,1.7196,3.63,0.054,0.405,0.276,0.11,0.051,0.104
137000,2.1074,3.51,0.042,0.392,0.284,0.138,0.057,0.087
138000,1.2368,3.63,0.042,0.393,0.318,0.113,0.06,0.074
139000,1.5396,3.66,0.049,0.416,0.298,0.113,0.059,0.065
140000,2.036,3.72,0.029,0.434,0.308,0.109,0.041,0.079
141000,-1.2422,3.56,0.042,0.404,0.291,0.133,0.053,0.077
142000,1.485,3.75,0.033,0.425,0.286,0.126,0.057,0.073
143000,-0.953,3.43,0.029,0.439,0.28,0.132,0.044,0.076
144000,3.693,3.5,0.02,0.398,0.296,0.151,0.056,0.079
145000,1.665,3.51,0.027,0.411,0.305,0.151,0.035,0.071
146000,2.1654,3.73,0.04,0.434,0.275,0.135,0.037,0.079
147000,-0.154,3.61,0.026,0.428,0.275,0.154,0.044,0.073
148000,3.4286,3.64,0.029,0.399,0.304,0.133,0.056,0.079
149000,2.2196,3.76,0.029,0.416,0.301,0.137,0.039,0.078
150000,1.2716,3.43,0.021,0.401,0.314,0.147,0.036,0.081
151000,2.3684,3.71,0.021,0.375,0.322,0.171,0.046,0.065
152000,1.4324,3.69,0.032,0.42,0.267,0.141,0.046,0.094
153000,-0.7744,3.65,0.024,0.381,0.306,0.171,0.036,0.082
154000,1.826,3.78,0.025,0.358,0.331,0.156,0.051,0.079
155000,0.8482,3.75,0.031,0.394,0.319,0.156,0.022,0.078
156000,0.3664,3.75,0.028,0.41,0.314,0.131,0.035,0.082
157000,-0.0034,3.49,0.024,0.388,0.296,0.165,0.034,0.093
158000,-1.2326,3.73,0.03,0.428,0.303,0.132,0.028,0.079
159000,1.1676,3.61,0.031,0.416,0.29,0.131,0.038,0.094
160000,1.3012,3.72,0.031,0.428,0.29,0.145,0.039,0.067
161000,-1.1236,3.86,0.035,0.483,0.253,0.123,0.041,0.065
162000,2.41,3.65,0.05,0.43,0.257,0.144,0.044,0.075
163000,-0.8146,3.67,0.052,0.453,0.24,0.14,0.043,0.072
164000,2.0532,3.73,0.039,0.42,0.283,0.129,0.045,0.084
165000,2.5812,3.67,0.04,0.404,0.295,0.142,0.03,0.089
166000,3.2906,3.69,0.033,0.44,0.284,0.124,0.039,0.08
167000,5.2396,3.51,0.05,0.424,0.272,0.128,0.046,0.08
168000,2.6858,3.66,0.043,0.428,0.293,0.119,0.037,0.08
169000,2.8888,3.71,0.037,0.46,0.273,0.106,0.054,0.07
170000,1.7866,3.6,0.042,0.452,0.233,0.128,0.055,0.09
171000,2.3286,3.81,0.051,0.476,0.216,0.117,0.06,0.08
172000,-0.1944,3.73,0.057,0.461,0.212,0.116,0.061,0.093
173000,0.101,3.8,0.058,0.489,0.22,0.127,0.032,0.074
174000,1.0856,3.65,0.065,0.453,0.229,0.104,0.056,0.093
175000,-0.253,3.64,0.061,0.521,0.21,0.093,0.032,0.083
176000,1.603,3.76,0.06,0.481,0.204,0.108,0.048,0.099
177000,0.7524,3.66,0.056,0.528,0.228,0.088,0.029,0.071
178000,2.7222,3.82,0.079,0.517,0.21,0.098,0.029,0.067
179000,0.6854,3.77,0.069,0.515,0.22,0.09,0.034,0.072
180000,2.5888,3.61,0.065,0.541,0.181,0.094,0.031,0.088
181000,6.2092,3.74,0.058,0.501,0.217,0.104,0.047,0.073
182000,-1.2322,3.73,0.06,0.513,0.208,0.095,0.041,0.083
183000,1.6902,3.87,0.069,0.493,0.203,0.101,0.037,0.097
184000,-1.0186,3.76,0.065,0.491,0.206,0.115,0.051,0.072
185000,3.5852,3.94,0.062,0.489,0.222,0.129,0.027,0.071
186000,3.5718,3.64,0.077,0.503,0.189,0.103,0.042,0.086
187000,2.8652,3.73,0.055,0.505,0.202,0.108,0.044,0.086
188000,2.6088,3.84,0.063,0.487,0.217,0.111,0.039,0.083
189000,3.3002,3.83,0.045,0.489,0.22,0.124,0.051,0.071
190000,-1.6478,3.76,0.055,0.492,0.222,0.108,0.032,0.091
191000,2.9386,3.56,0.042,0.489,0.214,0.124,0.041,0.09
192000,-0.3366,3.55,0.052,0.454,0.224,0.116,0.067,0.087
193000,2.1728,3.48,0.067,0.46,0.224,0.108,0.043,0.098
194000,1.8152,3.63,0.046,0.457,0.248,0.12,0.053,0.076
195000,0.7574,3.62,0.057,0.442,0.251,0.122,0.037,0.091
196000,1.5508,3.69,0.055,0.485,0.22,0.117,0.04,0.083
197000,2.3486,3.63,0.046,0.44,0.238,0.121,0.052,0.103
198000,0.925,3.63,0.059,0.484,0.221,0.107,0.047,0.082
199000,4.8974,3.6,0.051,0.489,0.22,0.107,0.045,0.088
200000,5.1862,3.6,0.062,0.471,0.224,0.11,0.046,0.087
201000,2.4548,3.67,0.05,0.459,0.226,0.117,0.053,0.095
202000,2.9194,3.7,0.066,0.472,0.211,0.102,0.062,0.087
203000,0.5338,3.66,0.053,0.451,0.233,0.12,0.051,0.092
204000,3.6726,3.63,0.054,0.454,0.231,0.114,0.049,0.098
205000,-1.1012,3.61,0.058,0.467,0.238,0.121,0.03,0.086
206000,1.3096,3.75,0.046,0.459,0.259,0.095,0.046,0.095
207000,2.2832,3.76,0.056,0.474,0.243,0.107,0.035,0.085
208000,0.0066,3.65,0.046,0.434,0.266,0.111,0.047,0.096
209000,0.3652,3.64,0.04,0.477,0.256,0.083,0.04,0.104
210000,0.8364,3.74,0.041,0.486,0.223,0.107,0.051,0.092
211000,0.1308,3.75,0.047,0.5,0.216,0.107,0.045,0.085
212000,4.1424,3.61,0.048,0.463,0.248,0.093,0.053,0.095
213000,1.689,3.49,0.053,0.433,0.242,0.112,0.06,0.1
214000,1.9078,3.59,0.042,0.47,0.253,0.099,0.048,0.088
215000,2.827,3.66,0.052,0.484,0.216,0.101,0.046,0.101
216000,2.5376,3.85,0.05,0.469,0.225,0.109,0.053,0.094
217000,3.9396,3.55,0.046,0.449,0.249,0.115,0.04,0.101
218000,0.6694,3.57,0.052,0.457,0.242,0.094,0.057,0.098
219000,-0.994,3.75,0.05,0.494,0.225,0.095,0.05,0.086
