timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
87000,-0.848,1.85,0.096,0.088,0.402,0.13,0.114,0.17
88000,-0.286,1.71,0.112,0.077,0.42,0.117,0.126,0.148
89000,-0.83,1.95,0.085,0.086,0.467,0.128,0.113,0.121
90000,1.3336,2.03,0.094,0.078,0.455,0.135,0.099,0.139
91000,3.0816,1.98,0.121,0.063,0.487,0.118,0.086,0.125
92000,1.144,1.99,0.122,0.081,0.479,0.11,0.09,0.118
93000,0.136,2.01,0.107,0.06,0.496,0.133,0.087,0.117
94000,1.372,1.85,0.099,0.072,0.484,0.147,0.09,0.108
95000,-2.696,1.93,0.1,0.058,0.511,0.131,0.089,0.111
96000,0.276,1.94,0.113,0.066,0.478,0.15,0.085,0.108
97000,-0.884,1.93,0.109,0.062,0.53,0.121,0.081,0.097
98000,-2.884,1.86,0.114,0.052,0.533,0.117,0.084,0.1
99000,0.76,1.97,0.108,0.055,0.548,0.129,0.065,0.095
100000,3.03,1.93,0.101,0.059,0.532,0.13,0.064,0.114
101000,-2.452,1.97,0.095,0.044,0.593,0.111,0.055,0.102
102000,2.956,1.99,0.096,0.045,0.533,0.124,0.079,0.123
103000,0.368,1.97,0.098,0.042,0.526,0.119,0.088,0.127
104000,2.596,1.94,0.113,0.046,0.531,0.123,0.083,0.104
105000,-2.3544,2.04,0.102,0.032,0.56,0.115,0.088,0.103
106000,1.2292,1.9,0.116,0.041,0.506,0.136,0.082,0.119
107000,0.74,1.85,0.122,0.036,0.525,0.121,0.063,0.133
108000,0.49,1.88,0.134,0.04,0.531,0.111,0.07,0.114
109000,2.582,1.88,0.106,0.029,0.562,0.143,0.061,0.099
110000,1.0872,2.05,0.099,0.037,0.548,0.142,0.08,0.094
111000,-1.496,1.86,0.124,0.026,0.578,0.112,0.056,0.104
112000,1.6892,1.97,0.125,0.035,0.567,0.091,0.073,0.109
113000,-2.852,1.92,0.131,0.034,0.547,0.103,0.083,0.102
114000,0.8236,1.77,0.136,0.044,0.522,0.105,0.071,0.122
115000,1.6136,1.94,0.138,0.031,0.521,0.129,0.069,0.112
116000,1.0952,1.9,0.108,0.039,0.549,0.121,0.06,0.123
117000,-1.7344,1.87,0.14,0.031,0.533,0.123,0.046,0.127
118000,-0.49,1.93,0.128,0.031,0.559,0.103,0.064,0.115
119000,-0.542,1.98,0.144,0.04,0.538,0.116,0.058,0.104
120000,2.46,1.9,0.13,0.042,0.543,0.105,0.063,0.117
121000,0.536,1.85,0.149,0.028,0.583,0.102,0.051,0.087
122000,0.166,1.92,0.144,0.045,0.513,0.104,0.059,0.135
123000,0.4416,1.97,0.119,0.034,0.535,0.13,0.053,0.129
124000,0.4536,1.96,0.121,0.045,0.531,0.142,0.043,0.118
125000,3.0,1.77,0.111,0.031,0.523,0.153,0.044,0.138
126000,0.404,1.82,0.138,0.038,0.523,0.132,0.039,0.13
127000,0.068,1.84,0.157,0.036,0.5,0.122,0.04,0.145
128000,-1.2248,1.82,0.133,0.029,0.484,0.146,0.046,0.162
129000,-0.792,1.71,0.152,0.025,0.476,0.159,0.048,0.14
130000,-0.506,1.86,0.147,0.031,0.495,0.137,0.046,0.144
131000,1.32,1.78,0.155,0.024,0.506,0.12,0.043,0.152
132000,-0.196,1.89,0.144,0.031,0.538,0.091,0.06,0.136
133000,-1.648,1.85,0.164,0.025,0.501,0.115,0.058,0.137
134000,-2.452,1.82,0.158,0.059,0.479,0.134,0.049,0.121
135000,-0.3524,1.84,0.155,0.04,0.474,0.14,0.051,0.14
136000,-2.0864,1.86,0.155,0.05,0.501,0.116,0.052,0.126
137000,-2.2212,2.12,0.137,0.054,0.52,0.112,0.056,0.121
138000,0.0136,1.87,0.152,0.039,0.517,0.138,0.049,0.105
139000,0.9116,1.92,0.14,0.045,0.526,0.131,0.053,0.105
140000,0.88,1.74,0.149,0.04,0.502,0.143,0.061,0.105
141000,-1.08,1.75,0.151,0.031,0.505,0.142,0.052,0.119
142000,0.67,1.96,0.141,0.038,0.499,0.137,0.066,0.119
143000,0.392,1.97,0.153,0.037,0.502,0.132,0.064,0.112
144000,1.36,1.98,0.143,0.042,0.491,0.162,0.073,0.089
145000,3.396,1.94,0.133,0.03,0.489,0.167,0.071,0.11
146000,-0.1508,1.88,0.148,0.052,0.502,0.133,0.069,0.096
147000,-0.562,2.08,0.119,0.058,0.511,0.155,0.057,0.1
148000,-0.302,2.03,0.123,0.038,0.526,0.138,0.069,0.106
149000,-1.06,1.9,0.118,0.042,0.566,0.13,0.067,0.077
150000,-1.5808,2.1,0.123,0.055,0.525,0.127,0.072,0.098
151000,1.7196,1.93,0.145,0.041,0.552,0.104,0.068,0.09
152000,1.1972,2.04,0.13,0.036,0.589,0.091,0.052,0.102
153000,-2.604,2.04,0.116,0.03,0.581,0.135,0.048,0.09
154000,-1.036,1.95,0.119,0.041,0.593,0.116,0.044,0.087
155000,-1.5448,2.13,0.113,0.027,0.65,0.117,0.035,0.058
156000,1.4,1.98,0.109,0.038,0.648,0.116,0.035,0.054
157000,1.952,2.01,0.119,0.031,0.653,0.106,0.029,0.062
158000,1.552,2.1,0.126,0.028,0.684,0.073,0.037,0.052
159000,0.9608,2.09,0.092,0.027,0.673,0.111,0.045,0.052
160000,1.212,2.1,0.094,0.036,0.68,0.098,0.036,0.056
161000,1.08,2.12,0.119,0.019,0.71,0.072,0.037,0.043
162000,1.56,2.04,0.114,0.027,0.655,0.083,0.052,0.069
163000,0.82,2.21,0.101,0.018,0.72,0.091,0.031,0.039
164000,4.0196,1.99,0.102,0.022,0.691,0.087,0.04,0.058
165000,0.008,2.25,0.099,0.018,0.722,0.073,0.054,0.034
166000,0.9516,2.09,0.109,0.029,0.694,0.075,0.051,0.042
167000,0.02,2.08,0.105,0.022,0.702,0.074,0.048,0.049
168000,-0.376,2.13,0.102,0.019,0.73,0.079,0.038,0.032
169000,1.69,2.14,0.098,0.023,0.689,0.107,0.042,0.041
170000,0.7956,1.95,0.088,0.023,0.696,0.103,0.037,0.053
171000,-2.2992,2.0,0.1,0.016,0.717,0.081,0.046,0.04
172000,3.084,2.07,0.103,0.028,0.688,0.082,0.045,0.054
173000,2.396,2.18,0.101,0.031,0.693,0.088,0.049,0.038
174000,0.028,2.26,0.092,0.018,0.691,0.098,0.058,0.043
175000,0.866,2.06,0.105,0.03,0.674,0.094,0.059,0.038
176000,-1.708,2.23,0.101,0.032,0.703,0.091,0.038,0.035
177000,2.2816,2.01,0.104,0.027,0.712,0.075,0.045,0.037
178000,1.6156,2.19,0.097,0.017,0.702,0.097,0.044,0.043
179000,1.264,2.17,0.097,0.018,0.714,0.087,0.046,0.038
180000,1.072,2.08,0.106,0.014,0.73,0.066,0.043,0.041
181000,1.7096,2.37,0.096,0.017,0.748,0.074,0.03,0.035
182000,-0.8,2.22,0.107,0.018,0.729,0.058,0.051,0.037
183000,2.222,2.19,0.084,0.019,0.735,0.072,0.058,0.032
184000,-0.036,2.11,0.101,0.018,0.726,0.075,0.048,0.032
185000,1.2792,2.38,0.085,0.018,0.749,0.075,0.041,0.032
186000,-0.612,2.11,0.084,0.018,0.74,0.085,0.045,0.028
187000,0.5616,2.15,0.094,0.035,0.734,0.069,0.036,0.032
188000,1.176,2.15,0.096,0.024,0.758,0.065,0.034,0.023
189000,3.088,2.19,0.097,0.025,0.734,0.074,0.036,0.034
190000,0.116,2.19,0.099,0.045,0.724,0.052,0.042,0.038
191000,-1.476,2.22,0.09,0.023,0.768,0.058,0.035,0.026
192000,-1.1992,2.19,0.084,0.029,0.752,0.056,0.041,0.038
193000,2.16,2.42,0.087,0.03,0.751,0.069,0.031,0.032
194000,-1.38,2.17,0.097,0.025,0.745,0.079,0.026,0.028
195000,-2.7384,2.28,0.11,0.033,0.731,0.068,0.037,0.021
196000,-2.2904,2.31,0.111,0.033,0.739,0.058,0.035,0.024
197000,-1.748,2.24,0.101,0.021,0.771,0.051,0.027,0.029
198000,1.46,2.27,0.106,0.015,0.781,0.051,0.019,0.028
199000,1.232,2.1,0.117,0.016,0.753,0.069,0.022,0.023
200000,-0.362,2.0,0.108,0.033,0.737,0.064,0.028,0.03
201000,-1.756,2.17,0.102,0.019,0.788,0.044,0.024,0.023
202000,-4.548,2.21,0.096,0.023,0.78,0.047,0.024,0.03
203000,0.934,2.26,0.094,0.022,0.799,0.048,0.015,0.022
204000,3.032,2.15,0.102,0.017,0.775,0.058,0.022,0.026
205000,1.632,2.08,0.102,0.016,0.771,0.065,0.02,0.026
206000,0.8216,2.16,0.112,0.024,0.761,0.066,0.016,0.021
