timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
87000,-0.5668,2.38,0.003,0.193,0.076,0.274,0.396,0.058
88000,1.804,2.56,0.003,0.2,0.085,0.253,0.4,0.059
89000,2.604,2.39,0.002,0.178,0.075,0.305,0.358,0.082
90000,-2.9264,2.46,0.001,0.157,0.074,0.316,0.372,0.08
91000,-2.592,2.36,0.003,0.147,0.078,0.332,0.373,0.067
92000,0.252,2.49,0.002,0.15,0.082,0.341,0.341,0.084
93000,-0.976,2.36,0.003,0.141,0.072,0.406,0.292,0.086
94000,-0.826,2.38,0.001,0.123,0.069,0.414,0.31,0.083
95000,-1.6632,2.24,0.001,0.131,0.087,0.373,0.335,0.073
96000,1.3248,2.33,0.005,0.142,0.063,0.382,0.331,0.077
97000,-3.9668,2.42,0.002,0.163,0.074,0.365,0.312,0.084
98000,-0.1768,2.5,0.004,0.182,0.065,0.323,0.35,0.076
99000,-1.15,2.38,0.001,0.196,0.065,0.339,0.309,0.09
100000,1.766,2.54,0.005,0.194,0.062,0.352,0.296,0.091
101000,1.788,2.31,0.01,0.166,0.064,0.337,0.34,0.083
102000,0.4212,2.36,0.005,0.171,0.075,0.341,0.321,0.087
103000,-1.8306,2.34,0.007,0.142,0.061,0.34,0.36,0.09
104000,-1.8,2.29,0.006,0.129,0.054,0.336,0.377,0.098
105000,3.3248,2.24,0.003,0.13,0.067,0.33,0.391,0.079
106000,2.4,2.33,0.006,0.132,0.057,0.343,0.396,0.066
107000,-2.376,2.42,0.005,0.14,0.045,0.33,0.401,0.079
108000,2.204,2.43,0.004,0.146,0.046,0.321,0.393,0.09
109000,1.606,2.3,0.008,0.132,0.052,0.315,0.417,0.076
110000,0.8312,2.43,0.009,0.117,0.07,0.3,0.422,0.082
111000,1.234,2.36,0.009,0.115,0.058,0.285,0.454,0.079
112000,-0.418,2.32,0.008,0.116,0.051,0.321,0.429,0.075
113000,-3.5754,2.35,0.005,0.136,0.054,0.324,0.411,0.07
114000,1.184,2.28,0.013,0.129,0.066,0.322,0.416,0.054
115000,5.414,2.39,0.003,0.149,0.056,0.323,0.411,0.058
116000,0.604,2.43,0.008,0.148,0.045,0.353,0.398,0.048
117000,3.396,2.42,0.006,0.162,0.034,0.322,0.426,0.05
118000,-2.408,2.63,0.017,0.156,0.044,0.362,0.376,0.045
119000,-1.208,2.33,0.013,0.16,0.037,0.355,0.381,0.054
120000,-0.5508,2.36,0.017,0.149,0.043,0.377,0.363,0.051
121000,0.302,2.4,0.021,0.153,0.037,0.339,0.385,0.065
122000,-0.21,2.49,0.011,0.183,0.035,0.354,0.368,0.049
123000,2.8578,2.46,0.015,0.182,0.049,0.333,0.375,0.046
124000,-0.804,2.43,0.009,0.186,0.021,0.347,0.392,0.045
125000,1.596,2.53,0.008,0.208,0.027,0.372,0.344,0.041
126000,0.996,2.51,0.008,0.2,0.031,0.37,0.35,0.041
127000,0.1688,2.51,0.012,0.197,0.027,0.355,0.366,0.043
128000,-2.0,2.63,0.006,0.186,0.032,0.357,0.377,0.042
129000,-1.008,2.45,0.013,0.194,0.022,0.363,0.379,0.029
130000,-0.79,2.46,0.013,0.195,0.026,0.381,0.352,0.033
131000,-3.4,2.4,0.018,0.17,0.022,0.342,0.415,0.033
132000,-0.602,2.49,0.016,0.188,0.029,0.394,0.34,0.033
133000,1.392,2.48,0.017,0.196,0.036,0.39,0.326,0.035
134000,2.978,2.46,0.028,0.175,0.022,0.363,0.38,0.032
135000,1.804,2.42,0.011,0.199,0.026,0.385,0.352,0.027
136000,-1.612,2.37,0.028,0.159,0.026,0.391,0.368,0.028
137000,-3.428,2.28,0.032,0.16,0.024,0.365,0.394,0.025
138000,2.376,2.3,0.025,0.148,0.023,0.384,0.388,0.032
139000,0.58,2.32,0.017,0.154,0.021,0.385,0.398,0.025
140000,1.548,2.43,0.024,0.155,0.024,0.396,0.369,0.032
141000,0.438,2.33,0.031,0.146,0.024,0.375,0.389,0.035
142000,1.566,2.37,0.029,0.146,0.014,0.412,0.359,0.04
143000,0.362,2.28,0.036,0.154,0.026,0.429,0.33,0.025
144000,-1.012,2.25,0.04,0.151,0.018,0.381,0.373,0.037
145000,2.564,2.15,0.04,0.148,0.018,0.377,0.387,0.03
146000,-1.052,2.21,0.047,0.14,0.02,0.366,0.388,0.039
147000,0.984,2.43,0.048,0.163,0.017,0.338,0.403,0.031
148000,-1.628,2.22,0.049,0.154,0.018,0.34,0.397,0.042
149000,-5.252,2.17,0.063,0.154,0.021,0.325,0.393,0.044
150000,-3.052,2.28,0.068,0.15,0.017,0.339,0.371,0.055
151000,-2.224,2.19,0.061,0.142,0.023,0.325,0.4,0.049
152000,0.942,2.09,0.059,0.137,0.031,0.34,0.383,0.05
153000,-0.252,2.16,0.067,0.14,0.027,0.366,0.347,0.053
154000,2.542,2.17,0.068,0.123,0.017,0.34,0.397,0.055
155000,-1.228,2.21,0.062,0.126,0.021,0.383,0.361,0.047
156000,-0.236,2.09,0.073,0.132,0.016,0.368,0.366,0.045
157000,-0.028,2.2,0.056,0.124,0.013,0.381,0.378,0.048
158000,1.776,2.21,0.078,0.129,0.015,0.342,0.384,0.052
159000,-0.26,2.18,0.059,0.128,0.02,0.373,0.372,0.048
160000,-0.842,2.05,0.081,0.098,0.02,0.348,0.397,0.056
161000,2.59,2.06,0.076,0.098,0.019,0.297,0.451,0.059
162000,0.522,1.93,0.081,0.112,0.017,0.301,0.43,0.059
163000,-0.064,2.04,0.103,0.114,0.024,0.318,0.386,0.055
164000,0.558,2.12,0.099,0.107,0.016,0.31,0.403,0.065
165000,1.344,2.09,0.097,0.095,0.02,0.358,0.377,0.053
166000,-0.292,1.9,0.096,0.09,0.014,0.368,0.383,0.049
167000,-1.412,2.21,0.105,0.113,0.017,0.341,0.359,0.065
168000,2.552,1.93,0.1,0.105,0.018,0.332,0.388,0.057
169000,1.748,1.98,0.075,0.096,0.012,0.333,0.434,0.05
170000,-1.442,2.08,0.075,0.108,0.017,0.332,0.4,0.068
171000,0.742,2.05,0.101,0.086,0.022,0.323,0.395,0.073
172000,-2.624,2.02,0.089,0.102,0.016,0.348,0.365,0.08
173000,-1.04,2.04,0.105,0.104,0.022,0.368,0.321,0.08
174000,1.328,1.89,0.108,0.118,0.024,0.319,0.363,0.068
175000,1.924,2.1,0.101,0.106,0.02,0.37,0.33,0.073
176000,-0.476,1.87,0.114,0.121,0.017,0.367,0.305,0.076
177000,-0.218,2.08,0.106,0.13,0.023,0.39,0.275,0.076
178000,2.962,2.06,0.09,0.129,0.018,0.394,0.29,0.079
179000,-0.828,2.12,0.115,0.123,0.017,0.368,0.306,0.071
180000,-0.252,2.01,0.129,0.131,0.011,0.322,0.323,0.084
181000,-2.408,1.97,0.113,0.104,0.017,0.369,0.312,0.085
182000,0.594,2.06,0.1,0.109,0.011,0.403,0.299,0.078
183000,-0.016,1.98,0.122,0.1,0.026,0.357,0.305,0.09
184000,4.576,1.87,0.126,0.108,0.012,0.31,0.352,0.092
185000,2.174,1.95,0.121,0.12,0.02,0.332,0.328,0.079
186000,-1.588,2.1,0.107,0.13,0.017,0.333,0.326,0.087
187000,-1.622,2.12,0.12,0.148,0.01,0.285,0.345,0.092
188000,0.964,2.04,0.128,0.134,0.02,0.307,0.328,0.083
189000,-0.234,1.99,0.139,0.149,0.023,0.314,0.293,0.082
190000,0.198,2.05,0.134,0.15,0.014,0.343,0.276,0.083
191000,0.368,1.96,0.131,0.148,0.025,0.317,0.288,0.091
192000,-1.05,2.04,0.117,0.161,0.02,0.329,0.287,0.086
193000,1.948,1.98,0.131,0.144,0.021,0.318,0.302,0.084
194000,-1.388,2.08,0.111,0.15,0.018,0.312,0.332,0.077
195000,-0.628,2.11,0.136,0.153,0.016,0.319,0.304,0.072
196000,-2.414,2.09,0.127,0.149,0.015,0.338,0.3,0.071
197000,0.972,2.18,0.112,0.172,0.012,0.306,0.325,0.073
198000,1.56,2.16,0.13,0.177,0.015,0.304,0.297,0.077
199000,-2.43,2.19,0.117,0.169,0.01,0.331,0.319,0.054
200000,2.8176,2.27,0.113,0.159,0.011,0.336,0.315,0.066
201000,0.556,2.13,0.113,0.126,0.017,0.355,0.316,0.073
202000,1.058,2.14,0.124,0.146,0.013,0.357,0.293,0.067
203000,-1.826,2.11,0.111,0.143,0.025,0.372,0.282,0.067
204000,-2.586,2.13,0.112,0.159,0.024,0.35,0.294,0.061
205000,4.008,2.18,0.108,0.156,0.021,0.342,0.313,0.06
206000,-1.802,2.12,0.11,0.13,0.013,0.417,0.28,0.05
207000,2.216,2.08,0.112,0.121,0.016,0.39,0.304,0.057
208000,0.624,2.17,0.104,0.152,0.013,0.387,0.284,0.06
209000,0.612,2.04,0.14,0.136,0.019,0.375,0.268,0.062
210000,-1.006,2.15,0.103,0.136,0.021,0.377,0.299,0.064
211000,-1.5128,2.07,0.122,0.107,0.026,0.374,0.297,0.074
212000,1.658,2.22,0.112,0.132,0.014,0.407,0.278,0.057
213000,2.384,2.28,0.116,0.123,0.012,0.423,0.276,0.05
214000,-2.184,2.16,0.127,0.133,0.014,0.321,0.322,0.083
215000,2.482,2.06,0.104,0.135,0.016,0.366,0.313,0.066
216000,0.196,2.02,0.112,0.137,0.019,0.354,0.313,0.065
217000,-0.106,2.16,0.105,0.165,0.02,0.31,0.319,0.081
218000,1.574,2.16,0.113,0.19,0.017,0.3,0.322,0.058
219000,0.008,1.91,0.134,0.152,0.024,0.29,0.327,0.073
220000,0.192,2.17,0.123,0.17,0.018,0.333,0.285,0.071
221000,-0.134,2.15,0.116,0.166,0.025,0.319,0.305,0.069
222000,-0.154,2.26,0.16,0.187,0.02,0.29,0.268,0.075
223000,2.0,2.15,0.137,0.189,0.029,0.326,0.265,0.054
224000,-1.61,2.05,0.179,0.18,0.019,0.3,0.254,0.068
225000,-1.594,2.14,0.135,0.161,0.027,0.344,0.269,0.064
226000,-0.814,2.07,0.146,0.175,0.017,0.35,0.262,0.05
227000,1.64,2.15,0.147,0.169,0.023,0.322,0.288,0.051
228000,0.118,2.03,0.158,0.176,0.022,0.287,0.312,0.045
229000,-1.31,1.8,0.18,0.153,0.024,0.278,0.307,0.058
230000,0.368,2.07,0.162,0.15,0.019,0.31,0.295,0.064
231000,0.888,2.17,0.179,0.17,0.02,0.313,0.259,0.059
232000,-3.058,2.1,0.152,0.176,0.026,0.309,0.283,0.054
233000,-0.404,2.12,0.125,0.195,0.032,0.33,0.261,0.057
234000,-0.418,2.11,0.129,0.169,0.022,0.308,0.315,0.057
235000,-2.99,2.0,0.129,0.159,0.017,0.385,0.27,0.04
236000,-3.1892,2.27,0.138,0.15,0.015,0.376,0.273,0.048
237000,1.788,2.04,0.156,0.142,0.016,0.355,0.28,0.051
238000,0.188,2.18,0.134,0.142,0.024,0.372,0.287,0.041
239000,0.44,2.16,0.153,0.131,0.017,0.371,0.282,0.046
240000,-1.996,2.2,0.151,0.144,0.017,0.375,0.267,0.046
241000,-1.054,2.01,0.162,0.126,0.018,0.389,0.251,0.054
242000,1.514,2.18,0.196,0.145,0.019,0.336,0.248,0.056
243000,-3.378,2.07,0.184,0.149,0.02,0.343,0.249,0.055
244000,0.96,2.04,0.181,0.154,0.022,0.329,0.256,0.058
245000,2.012,2.05,0.167,0.138,0.016,0.374,0.259,0.046
246000,-0.598,2.09,0.178,0.12,0.023,0.357,0.264,0.058
247000,-2.398,2.04,0.164,0.146,0.022,0.357,0.245,0.066
248000,1.582,1.94,0.166,0.134,0.022,0.39,0.228,0.06
249000,-2.372,1.96,0.203,0.115,0.021,0.333,0.268,0.06
250000,-1.398,2.0,0.19,0.13,0.018,0.362,0.236,0.064
251000,-0.608,1.96,0.204,0.118,0.017,0.304,0.283,0.074
252000,0.752,2.0,0.208,0.124,0.022,0.329,0.27,0.047
253000,0.556,1.83,0.224,0.075,0.019,0.342,0.282,0.058
254000,-0.982,1.94,0.18,0.102,0.021,0.33,0.321,0.046
255000,-0.6372,1.92,0.192,0.12,0.026,0.329,0.278,0.055
256000,-1.368,2.23,0.158,0.122,0.024,0.353,0.299,0.044
257000,0.564,2.06,0.186,0.116,0.019,0.331,0.289,0.059
258000,-1.006,2.02,0.191,0.115,0.029,0.343,0.279,0.043
259000,0.548,1.87,0.204,0.126,0.016,0.316,0.29,0.048
260000,-0.228,2.13,0.224,0.115,0.013,0.309,0.286,0.053
261000,1.916,2.08,0.209,0.119,0.025,0.327,0.259,0.061
262000,-0.068,2.04,0.217,0.123,0.017,0.339,0.246,0.058
263000,0.758,1.9,0.22,0.107,0.021,0.346,0.26,0.046
264000,-0.552,1.79,0.227,0.108,0.028,0.275,0.301,0.061
265000,-0.438,1.85,0.219,0.103,0.024,0.358,0.26,0.036
266000,0.6582,2.0,0.236,0.138,0.02,0.324,0.25,0.032
267000,-0.088,2.0,0.224,0.12,0.022,0.335,0.26,0.039
268000,-1.8732,2.02,0.217,0.114,0.027,0.332,0.256,0.054
269000,-2.428,1.7,0.255,0.132,0.013,0.304,0.248,0.048
270000,-0.642,1.83,0.252,0.13,0.017,0.288,0.263,0.05
271000,1.072,1.66,0.309,0.09,0.018,0.247,0.272,0.064
272000,1.584,1.94,0.301,0.127,0.01,0.266,0.245,0.051
273000,1.044,1.76,0.285,0.122,0.026,0.285,0.227,0.055
274000,0.88,1.81,0.276,0.097,0.017,0.276,0.287,0.047
