phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,83000,0.9648,1.59,0.017,0.068,0.013,0.113,0.43,0.359
2,84000,1.2268,1.55,0.016,0.073,0.021,0.097,0.435,0.358
2,85000,-0.3088,1.57,0.021,0.062,0.022,0.098,0.434,0.363
2,86000,1.3714,1.58,0.011,0.054,0.019,0.114,0.451,0.351
2,87000,1.5652,1.64,0.02,0.054,0.022,0.112,0.426,0.366
2,88000,2.1168,1.61,0.02,0.068,0.017,0.134,0.405,0.356
2,89000,1.0836,1.58,0.019,0.069,0.025,0.158,0.382,0.347
2,90000,1.8764,1.6,0.02,0.063,0.017,0.153,0.392,0.355
2,91000,1.4544,1.61,0.026,0.065,0.014,0.161,0.373,0.361
2,92000,0.7448,1.57,0.02,0.066,0.02,0.175,0.364,0.355
2,93000,0.868,1.58,0.008,0.069,0.024,0.168,0.369,0.362
2,94000,2.042,1.63,0.013,0.057,0.014,0.197,0.359,0.36
2,95000,1.568,1.57,0.014,0.065,0.029,0.163,0.368,0.361
2,96000,1.7762,1.58,0.015,0.075,0.013,0.175,0.364,0.358
2,97000,1.4224,1.54,0.014,0.075,0.02,0.14,0.395,0.356
2,98000,1.28,1.55,0.019,0.048,0.025,0.12,0.432,0.356
2,99000,1.2044,1.61,0.021,0.067,0.02,0.127,0.412,0.353
2,100000,1.5492,1.58,0.017,0.061,0.017,0.105,0.449,0.351
2,101000,1.6572,1.58,0.02,0.065,0.023,0.111,0.419,0.362
2,102000,2.2984,1.58,0.032,0.064,0.018,0.122,0.417,0.347
2,103000,0.9984,1.57,0.016,0.061,0.02,0.092,0.448,0.363
2,104000,1.5504,1.55,0.018,0.065,0.015,0.096,0.455,0.351
2,105000,1.6372,1.56,0.018,0.069,0.015,0.116,0.428,0.354
2,106000,2.1796,1.6,0.017,0.071,0.008,0.133,0.418,0.353
2,107000,1.5796,1.62,0.015,0.08,0.008,0.099,0.437,0.361
2,108000,1.0904,1.56,0.019,0.074,0.01,0.101,0.442,0.354
2,109000,0.9884,1.61,0.021,0.058,0.013,0.089,0.461,0.358
2,110000,1.8456,1.59,0.009,0.06,0.013,0.071,0.491,0.356
2,111000,1.7756,1.56,0.008,0.054,0.012,0.068,0.495,0.363
2,112000,1.9572,1.59,0.013,0.067,0.007,0.063,0.482,0.368
2,113000,0.028,1.62,0.007,0.062,0.018,0.059,0.489,0.365
