phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,501761,1.002,1.55,0.0,0.0,0.0,0.0,1.0,0.0
2,502761,1.864,1.48,0.015,0.065,0.0,0.011,0.532,0.377
2,503761,1.874,1.51,0.019,0.08,0.001,0.01,0.513,0.377
2,504761,1.954,1.51,0.013,0.071,0.0,0.064,0.471,0.381
2,505761,1.186,1.56,0.009,0.065,0.0,0.05,0.477,0.399
2,506761,2.3984,1.52,0.011,0.084,0.001,0.046,0.475,0.383
2,507761,1.7864,1.54,0.018,0.055,0.002,0.045,0.504,0.376
2,508761,1.118,1.52,0.014,0.067,0.0,0.067,0.47,0.382
2,509761,0.9304,1.57,0.013,0.071,0.0,0.08,0.455,0.381
2,510761,1.4424,1.53,0.019,0.08,0.0,0.057,0.462,0.382
2,511761,2.1492,1.51,0.007,0.063,0.0,0.079,0.471,0.38
2,512761,1.386,1.5,0.016,0.072,0.001,0.046,0.495,0.37
2,513761,1.888,1.56,0.021,0.055,0.0,0.056,0.492,0.376
2,514761,1.3424,1.52,0.014,0.053,0.0,0.048,0.504,0.381
2,515761,1.3304,1.57,0.017,0.07,0.001,0.046,0.478,0.388
2,516761,0.408,1.56,0.014,0.067,0.001,0.046,0.49,0.382
2,517761,1.8556,1.54,0.009,0.067,0.001,0.048,0.481,0.394
2,518761,2.274,1.52,0.013,0.067,0.0,0.037,0.498,0.385
2,519761,2.0292,1.54,0.019,0.068,0.0,0.042,0.494,0.377
2,520761,2.1632,1.54,0.008,0.075,0.0,0.049,0.489,0.379
2,521761,2.0668,1.52,0.014,0.066,0.0,0.058,0.477,0.385
2,522761,1.8472,1.58,0.018,0.064,0.002,0.049,0.488,0.379
2,523761,0.8496,1.51,0.008,0.074,0.0,0.058,0.478,0.382
2,524761,0.9652,1.54,0.018,0.059,0.001,0.059,0.49,0.373
2,525761,2.0944,1.52,0.011,0.056,0.0,0.075,0.476,0.382
2,526761,1.0868,1.5,0.012,0.066,0.0,0.069,0.476,0.377
2,527761,1.976,1.53,0.009,0.064,0.001,0.052,0.496,0.378
2,528761,1.2012,1.54,0.014,0.065,0.0,0.066,0.474,0.381
2,529761,1.7892,1.62,0.01,0.066,0.001,0.078,0.468,0.377
2,530761,0.7212,1.52,0.006,0.071,0.0,0.083,0.461,0.379
2,531761,3.004,1.53,0.009,0.082,0.001,0.082,0.447,0.379
2,532761,1.3912,1.54,0.014,0.075,0.001,0.08,0.456,0.374
2,533761,0.9124,1.53,0.012,0.071,0.0,0.072,0.468,0.377
2,534761,0.7204,1.58,0.012,0.064,0.001,0.061,0.486,0.376
2,535761,0.8412,1.58,0.012,0.061,0.001,0.068,0.481,0.377
2,536761,1.45,1.55,0.013,0.073,0.0,0.065,0.471,0.378
2,537761,1.2932,1.58,0.014,0.073,0.0,0.062,0.475,0.376
2,538761,1.6108,1.58,0.013,0.072,0.0,0.073,0.469,0.373
2,539761,0.228,1.53,0.017,0.074,0.001,0.083,0.452,0.373
2,540761,1.0,1.5,0.012,0.066,0.001,0.07,0.479,0.372
2,541761,0.8448,1.58,0.006,0.061,0.001,0.105,0.453,0.374
2,542761,1.6648,1.49,0.013,0.072,0.001,0.082,0.463,0.369
2,543761,1.64,1.57,0.015,0.058,0.0,0.069,0.478,0.38
2,544761,1.9436,1.51,0.008,0.064,0.0,0.059,0.479,0.39
2,545761,2.5788,1.5,0.011,0.063,0.0,0.056,0.49,0.38
2,546761,0.8912,1.49,0.017,0.068,0.002,0.056,0.479,0.378
2,547761,0.5104,1.59,0.019,0.068,0.0,0.048,0.493,0.372
2,548761,3.1272,1.45,0.006,0.074,0.0,0.048,0.495,0.377
2,549761,1.9632,1.5,0.011,0.079,0.0,0.051,0.483,0.376
2,550761,0.7732,1.52,0.015,0.052,0.0,0.036,0.533,0.364
2,551761,1.0808,1.59,0.01,0.067,0.0,0.034,0.515,0.374
2,552761,1.4892,1.5,0.014,0.066,0.001,0.033,0.527,0.359
2,553761,1.5364,1.56,0.009,0.068,0.001,0.024,0.521,0.377
2,554761,1.8356,1.57,0.006,0.06,0.0,0.033,0.53,0.371
2,555761,1.452,1.52,0.009,0.074,0.0,0.026,0.513,0.378
2,556761,0.8976,1.58,0.009,0.072,0.0,0.032,0.512,0.375
2,557761,1.8724,1.58,0.008,0.063,0.0,0.025,0.531,0.373
2,558761,1.7784,1.53,0.01,0.065,0.0,0.026,0.529,0.37
2,559761,0.794,1.47,0.011,0.062,0.0,0.028,0.527,0.372
2,560761,1.9772,1.57,0.016,0.068,0.0,0.026,0.526,0.364
2,561761,0.8952,1.53,0.008,0.05,0.0,0.027,0.537,0.378
2,562761,1.366,1.57,0.013,0.077,0.001,0.02,0.515,0.374
2,563761,1.3232,1.55,0.011,0.067,0.001,0.023,0.521,0.377
2,564761,1.954,1.54,0.013,0.066,0.0,0.023,0.53,0.368
2,565761,2.1212,1.56,0.006,0.065,0.001,0.023,0.525,0.38
2,566761,1.374,1.53,0.012,0.06,0.0,0.022,0.534,0.372
2,567761,2.25,1.53,0.009,0.064,0.0,0.041,0.512,0.374
2,568761,1.6884,1.57,0.01,0.066,0.0,0.038,0.51,0.376
2,569761,1.5208,1.62,0.01,0.068,0.0,0.045,0.504,0.373
2,570761,1.184,1.5,0.014,0.073,0.0,0.036,0.503,0.374
2,571761,0.9432,1.53,0.023,0.079,0.0,0.056,0.476,0.366
2,572761,1.5744,1.56,0.015,0.07,0.001,0.054,0.489,0.371
2,573761,1.9532,1.53,0.01,0.068,0.0,0.057,0.494,0.371
2,574761,2.3692,1.58,0.011,0.078,0.0,0.064,0.476,0.371
2,575761,1.286,1.58,0.01,0.07,0.0,0.052,0.489,0.379
2,576761,1.1692,1.56,0.008,0.065,0.001,0.043,0.507,0.376
2,577761,1.744,1.56,0.012,0.06,0.0,0.036,0.516,0.376
2,578761,2.402,1.49,0.015,0.071,0.0,0.032,0.505,0.377
2,579761,1.29,1.54,0.012,0.065,0.0,0.032,0.518,0.373
2,580761,1.956,1.5,0.009,0.061,0.0,0.029,0.522,0.379
2,581761,0.996,1.57,0.019,0.069,0.001,0.034,0.508,0.369
2,582761,2.16,1.49,0.012,0.072,0.001,0.039,0.506,0.37
2,583761,0.0692,1.5,0.015,0.063,0.0,0.031,0.512,0.379
2,584761,1.4616,1.55,0.006,0.054,0.001,0.036,0.533,0.37
2,585761,1.5464,1.56,0.009,0.062,0.0,0.025,0.51,0.394
2,586761,1.962,1.51,0.014,0.065,0.0,0.04,0.508,0.373
2,587761,1.132,1.56,0.01,0.071,0.0,0.03,0.514,0.375
2,588761,2.3048,1.58,0.013,0.061,0.0,0.028,0.514,0.384
2,589761,2.108,1.58,0.013,0.069,0.0,0.017,0.52,0.381
2,590761,2.144,1.5,0.011,0.063,0.0,0.024,0.518,0.384
2,591761,1.6732,1.5,0.008,0.073,0.0,0.031,0.504,0.384
2,592761,2.362,1.54,0.009,0.06,0.0,0.024,0.514,0.393
2,593761,1.4352,1.56,0.007,0.074,0.0,0.034,0.507,0.378
2,594761,0.9836,1.53,0.011,0.063,0.0,0.022,0.522,0.382
2,595761,1.534,1.5,0.004,0.08,0.0,0.027,0.503,0.386
2,596761,2.0104,1.53,0.013,0.056,0.0,0.027,0.536,0.368
2,597761,1.496,1.49,0.009,0.063,0.0,0.03,0.523,0.375
2,598761,-0.188,1.54,0.013,0.054,0.001,0.035,0.518,0.379
2,599761,1.4876,1.58,0.014,0.072,0.001,0.036,0.493,0.384
2,600761,1.854,1.53,0.011,0.068,0.0,0.021,0.515,0.385
2,601761,3.0244,1.56,0.015,0.068,0.0,0.033,0.503,0.381
2,602761,1.3732,1.52,0.014,0.062,0.0,0.025,0.523,0.376
2,603761,0.692,1.53,0.012,0.071,0.001,0.025,0.513,0.378
2,604761,1.6524,1.5,0.007,0.077,0.0,0.04,0.481,0.395
2,605761,1.88,1.53,0.013,0.08,0.0,0.037,0.487,0.383
2,606761,1.4228,1.54,0.015,0.062,0.0,0.033,0.508,0.382
2,607761,1.2384,1.5,0.006,0.055,0.0,0.037,0.522,0.38
2,608761,1.494,1.53,0.006,0.063,0.0,0.035,0.505,0.391
