phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,185401,-0.8248,1.69,0.104,0.057,0.09,0.01,0.482,0.257
2,186401,0.5792,1.57,0.093,0.07,0.094,0.004,0.467,0.272
2,187401,1.5156,1.62,0.092,0.052,0.118,0.009,0.467,0.262
2,188401,0.5024,1.69,0.086,0.059,0.102,0.008,0.471,0.274
2,189401,-0.18,1.56,0.076,0.071,0.11,0.008,0.464,0.271
2,190401,0.166,1.59,0.083,0.06,0.107,0.011,0.463,0.276
2,191401,0.9292,1.65,0.09,0.072,0.097,0.008,0.462,0.271
2,192401,0.5616,1.68,0.082,0.054,0.092,0.004,0.49,0.278
2,193401,0.082,1.66,0.084,0.046,0.104,0.001,0.489,0.276
2,194401,1.816,1.66,0.081,0.052,0.099,0.009,0.485,0.274
2,195401,0.0184,1.66,0.087,0.053,0.119,0.01,0.462,0.269
2,196401,-0.63,1.64,0.1,0.058,0.114,0.008,0.464,0.256
2,197401,2.3228,1.63,0.066,0.073,0.106,0.011,0.468,0.276
2,198401,1.9852,1.6,0.086,0.06,0.117,0.014,0.446,0.277
2,199401,1.8784,1.7,0.081,0.06,0.108,0.008,0.468,0.275
2,200401,0.9684,1.61,0.097,0.056,0.107,0.005,0.473,0.262
2,201401,0.2372,1.62,0.086,0.062,0.111,0.004,0.474,0.263
2,202401,1.3952,1.57,0.066,0.074,0.107,0.007,0.472,0.274
2,203401,-1.7568,1.64,0.089,0.057,0.078,0.009,0.5,0.267
2,204401,0.7,1.7,0.098,0.077,0.099,0.008,0.485,0.233
2,205401,1.3364,1.56,0.097,0.062,0.114,0.011,0.48,0.236
2,206401,-0.466,1.66,0.089,0.056,0.087,0.009,0.494,0.265
2,207401,2.792,1.66,0.078,0.064,0.084,0.012,0.495,0.267
2,208401,-0.4768,1.73,0.095,0.05,0.081,0.016,0.493,0.265
2,209401,0.5508,1.65,0.089,0.05,0.08,0.01,0.502,0.269
2,210401,1.308,1.63,0.104,0.064,0.106,0.011,0.485,0.23
2,211401,1.198,1.68,0.079,0.075,0.09,0.008,0.493,0.255
2,212401,2.396,1.71,0.08,0.071,0.104,0.006,0.488,0.251
2,213401,1.7204,1.72,0.071,0.074,0.093,0.017,0.486,0.259
2,214401,0.3172,1.69,0.103,0.066,0.103,0.013,0.466,0.249
2,215401,1.676,1.73,0.091,0.071,0.088,0.005,0.474,0.271
2,216401,1.2368,1.72,0.096,0.07,0.091,0.014,0.478,0.251
2,217401,1.31,1.7,0.091,0.089,0.106,0.016,0.45,0.248
2,218401,0.1856,1.76,0.089,0.082,0.103,0.013,0.454,0.259
2,219401,0.412,1.69,0.105,0.077,0.11,0.01,0.446,0.252
2,220401,1.1524,1.72,0.095,0.078,0.104,0.018,0.468,0.237
2,221401,-0.292,1.65,0.086,0.071,0.112,0.006,0.474,0.251
2,222401,0.9088,1.58,0.091,0.056,0.085,0.014,0.491,0.263
2,223401,1.5808,1.61,0.087,0.068,0.085,0.014,0.49,0.256
2,224401,-0.7044,1.62,0.081,0.076,0.09,0.009,0.497,0.247
