timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
89000,3.128,2.08,0.007,0.178,0.05,0.026,0.555,0.184
90000,5.254,2.14,0.007,0.171,0.045,0.03,0.582,0.165
91000,2.638,2.15,0.013,0.156,0.048,0.023,0.585,0.175
92000,3.498,2.05,0.007,0.159,0.059,0.023,0.601,0.151
93000,2.168,2.06,0.019,0.181,0.041,0.03,0.575,0.154
94000,5.288,2.04,0.018,0.171,0.04,0.025,0.613,0.133
95000,3.246,2.04,0.013,0.152,0.047,0.018,0.639,0.131
96000,3.223,2.04,0.015,0.146,0.04,0.014,0.638,0.147
97000,2.4486,2.0,0.033,0.142,0.026,0.016,0.648,0.135
98000,4.143,1.99,0.021,0.12,0.036,0.02,0.655,0.148
99000,3.937,1.99,0.017,0.149,0.048,0.024,0.608,0.154
100000,0.215,2.11,0.012,0.158,0.039,0.03,0.636,0.125
101000,-1.187,2.04,0.025,0.13,0.035,0.015,0.647,0.148
102000,3.4588,2.11,0.019,0.151,0.064,0.023,0.617,0.126
103000,3.625,2.12,0.025,0.154,0.044,0.023,0.613,0.141
104000,5.069,2.11,0.013,0.178,0.047,0.027,0.611,0.124
105000,3.469,2.09,0.014,0.176,0.041,0.022,0.625,0.122
106000,4.989,2.13,0.019,0.172,0.043,0.018,0.612,0.136
107000,3.13,2.16,0.018,0.179,0.033,0.023,0.616,0.131
108000,3.3,2.16,0.024,0.169,0.043,0.032,0.588,0.144
109000,4.089,1.96,0.025,0.179,0.053,0.03,0.566,0.147
110000,1.542,2.17,0.016,0.177,0.039,0.029,0.591,0.148
111000,3.146,2.14,0.027,0.163,0.033,0.016,0.611,0.15
112000,4.5544,2.2,0.023,0.173,0.048,0.023,0.598,0.135
113000,3.631,2.05,0.036,0.155,0.043,0.015,0.603,0.148
114000,3.39,1.97,0.043,0.151,0.04,0.02,0.589,0.157
115000,3.487,2.01,0.029,0.166,0.034,0.014,0.596,0.161
116000,1.8324,2.14,0.026,0.175,0.049,0.021,0.571,0.158
117000,2.61,2.15,0.027,0.179,0.035,0.025,0.581,0.153
118000,1.971,2.17,0.036,0.169,0.052,0.02,0.576,0.147
