timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,0.125,2.01,0.155,0.17,0.168,0.168,0.151,0.188
2000,0.1446,1.87,0.166,0.165,0.195,0.168,0.159,0.147
3000,-0.6416,2.0,0.124,0.185,0.192,0.145,0.166,0.188
4000,2.3376,1.92,0.134,0.186,0.167,0.151,0.189,0.173
5000,1.2908,1.91,0.121,0.173,0.155,0.165,0.172,0.214
6000,1.5222,1.81,0.105,0.181,0.164,0.147,0.202,0.201
7000,2.5692,1.82,0.08,0.147,0.128,0.176,0.234,0.235
8000,0.1346,1.77,0.086,0.14,0.127,0.184,0.254,0.209
9000,1.2566,1.87,0.071,0.156,0.118,0.198,0.266,0.191
10000,2.6178,2.01,0.064,0.155,0.115,0.22,0.271,0.175
11000,-0.105,2.01,0.063,0.148,0.109,0.213,0.291,0.176
12000,-0.4938,1.84,0.064,0.115,0.121,0.215,0.313,0.172
13000,0.8112,2.11,0.052,0.124,0.099,0.223,0.336,0.166
14000,0.5922,2.04,0.047,0.123,0.09,0.247,0.356,0.137
15000,1.059,2.01,0.048,0.1,0.101,0.236,0.346,0.169
16000,3.2624,1.99,0.045,0.096,0.113,0.224,0.37,0.152
17000,4.1064,1.92,0.048,0.081,0.104,0.221,0.397,0.149
18000,2.903,2.12,0.043,0.071,0.107,0.226,0.413,0.14
19000,1.6208,1.87,0.038,0.078,0.095,0.193,0.453,0.143
20000,0.9066,1.94,0.042,0.081,0.098,0.184,0.457,0.138
21000,1.4598,1.86,0.045,0.059,0.115,0.164,0.482,0.135
22000,1.8898,1.9,0.043,0.068,0.098,0.153,0.504,0.134
23000,4.2468,2.06,0.038,0.077,0.095,0.155,0.489,0.146
24000,0.8712,1.9,0.035,0.062,0.083,0.147,0.553,0.12
25000,2.0074,1.89,0.035,0.077,0.071,0.139,0.535,0.143
26000,6.15,1.98,0.02,0.071,0.079,0.113,0.603,0.114
27000,3.9366,2.0,0.023,0.05,0.09,0.137,0.568,0.132
28000,3.1466,1.96,0.027,0.056,0.086,0.123,0.59,0.118
29000,2.9192,1.91,0.027,0.061,0.096,0.127,0.584,0.105
30000,3.3408,1.84,0.032,0.069,0.091,0.118,0.582,0.108
31000,3.365,2.04,0.023,0.068,0.077,0.108,0.599,0.125
32000,3.6568,1.93,0.025,0.06,0.088,0.123,0.593,0.111
33000,2.701,1.99,0.03,0.071,0.096,0.11,0.583,0.11
34000,2.8328,1.99,0.027,0.057,0.066,0.134,0.619,0.097
35000,2.9594,1.97,0.026,0.051,0.068,0.139,0.599,0.117
36000,4.387,1.81,0.028,0.048,0.072,0.12,0.634,0.098
