timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
501761,3.006,2.01,0.0,1.0,0.0,0.0,0.0,0.0
502761,6.344,2.13,0.126,0.127,0.01,0.003,0.602,0.132
503761,2.1484,2.0,0.145,0.126,0.014,0.001,0.6,0.114
504761,1.418,2.01,0.138,0.131,0.013,0.004,0.593,0.121
505761,5.337,2.03,0.132,0.137,0.017,0.002,0.588,0.124
506761,4.461,2.1,0.125,0.144,0.011,0.003,0.586,0.131
507761,3.0074,2.02,0.158,0.12,0.009,0.004,0.6,0.109
508761,5.097,1.95,0.129,0.133,0.014,0.003,0.588,0.133
509761,2.963,1.98,0.128,0.135,0.017,0.004,0.579,0.137
510761,3.087,1.99,0.139,0.139,0.01,0.003,0.59,0.119
511761,1.563,1.93,0.145,0.124,0.017,0.003,0.596,0.115
512761,1.6102,1.78,0.16,0.111,0.024,0.005,0.593,0.107
513761,3.856,1.89,0.154,0.111,0.021,0.005,0.593,0.116
514761,5.091,2.0,0.136,0.134,0.018,0.002,0.589,0.121
515761,2.445,1.9,0.144,0.124,0.02,0.005,0.589,0.118
516761,2.798,1.93,0.143,0.126,0.016,0.005,0.593,0.117
517761,4.9544,2.04,0.144,0.126,0.008,0.006,0.598,0.118
518761,0.849,1.98,0.156,0.132,0.013,0.001,0.596,0.102
519761,2.17,2.08,0.164,0.115,0.013,0.004,0.59,0.114
520761,6.178,1.95,0.149,0.12,0.014,0.008,0.588,0.121
521761,0.597,1.88,0.163,0.115,0.015,0.002,0.598,0.107
522761,3.479,1.91,0.155,0.12,0.02,0.004,0.602,0.099
523761,2.054,1.98,0.15,0.123,0.019,0.003,0.598,0.107
524761,3.998,1.95,0.173,0.106,0.013,0.006,0.597,0.105
525761,1.91,1.88,0.163,0.112,0.013,0.005,0.597,0.11
526761,0.782,1.87,0.16,0.113,0.007,0.001,0.61,0.109
527761,4.0448,1.93,0.185,0.102,0.013,0.004,0.603,0.093
528761,1.6352,1.79,0.171,0.109,0.014,0.005,0.609,0.092
529761,2.004,1.8,0.18,0.101,0.013,0.003,0.602,0.101
530761,2.47,1.84,0.188,0.097,0.019,0.003,0.604,0.089
531761,1.616,1.85,0.173,0.112,0.017,0.002,0.598,0.098
532761,3.863,2.03,0.151,0.127,0.023,0.005,0.582,0.112
533761,3.8564,1.93,0.148,0.125,0.018,0.004,0.594,0.111
534761,4.29,1.99,0.14,0.128,0.023,0.008,0.578,0.123
535761,3.436,1.9,0.161,0.116,0.015,0.002,0.598,0.108
536761,2.189,1.85,0.164,0.121,0.011,0.003,0.597,0.104
537761,4.547,1.9,0.139,0.143,0.014,0.002,0.584,0.118
538761,3.6314,2.06,0.154,0.136,0.02,0.002,0.576,0.112
539761,2.7564,2.01,0.142,0.142,0.015,0.005,0.577,0.119
540761,2.961,2.02,0.144,0.135,0.03,0.007,0.572,0.112
541761,0.637,1.89,0.146,0.148,0.016,0.005,0.577,0.108
542761,3.005,1.86,0.143,0.15,0.026,0.004,0.564,0.113
543761,2.229,1.87,0.171,0.129,0.01,0.004,0.583,0.103
544761,2.194,1.88,0.143,0.154,0.022,0.002,0.566,0.113
545761,3.588,2.03,0.146,0.131,0.017,0.005,0.582,0.119
546761,4.0074,1.94,0.147,0.147,0.024,0.002,0.566,0.114
547761,4.8744,1.94,0.147,0.139,0.021,0.002,0.581,0.11
548761,3.7288,2.03,0.15,0.132,0.019,0.005,0.587,0.107
549761,3.9838,2.09,0.151,0.129,0.025,0.004,0.58,0.111
550761,1.465,1.92,0.144,0.144,0.021,0.005,0.569,0.117
551761,2.324,2.0,0.152,0.125,0.018,0.004,0.585,0.116
552761,3.3714,1.91,0.155,0.124,0.023,0.005,0.583,0.11
553761,2.685,2.17,0.131,0.163,0.009,0.002,0.579,0.116
554761,4.6964,1.99,0.134,0.154,0.018,0.003,0.572,0.119
555761,2.145,2.17,0.119,0.151,0.02,0.002,0.582,0.126
556761,1.985,1.96,0.116,0.155,0.026,0.001,0.565,0.137
557761,1.4864,2.13,0.121,0.162,0.03,0.002,0.556,0.129
558761,4.657,2.02,0.117,0.155,0.019,0.001,0.569,0.139
559761,2.4884,2.13,0.125,0.17,0.027,0.004,0.555,0.119
560761,2.0344,2.18,0.121,0.163,0.028,0.002,0.561,0.125
561761,2.0264,1.97,0.124,0.164,0.029,0.003,0.553,0.127
562761,4.755,2.05,0.126,0.156,0.036,0.001,0.559,0.122
563761,1.549,1.99,0.128,0.165,0.016,0.001,0.568,0.122
564761,0.907,2.13,0.131,0.156,0.029,0.0,0.561,0.123
565761,3.766,2.07,0.141,0.138,0.031,0.001,0.571,0.118
566761,3.16,2.11,0.126,0.149,0.026,0.0,0.572,0.127
567761,5.2416,2.07,0.118,0.163,0.017,0.0,0.574,0.128
568761,2.017,2.02,0.126,0.155,0.028,0.002,0.57,0.119
569761,2.6774,1.99,0.13,0.138,0.017,0.001,0.587,0.127
570761,3.552,1.95,0.144,0.141,0.024,0.003,0.568,0.12
571761,2.665,2.04,0.135,0.151,0.021,0.003,0.576,0.114
572761,3.459,1.97,0.13,0.145,0.022,0.005,0.572,0.126
573761,1.797,1.92,0.149,0.141,0.021,0.001,0.579,0.109
574761,2.953,2.04,0.143,0.137,0.02,0.001,0.59,0.109
575761,1.767,2.14,0.121,0.144,0.016,0.002,0.59,0.127
576761,4.1014,2.0,0.137,0.144,0.01,0.002,0.586,0.121
577761,2.9424,1.98,0.135,0.152,0.019,0.003,0.573,0.118
578761,1.45,1.99,0.127,0.133,0.018,0.0,0.587,0.135
579761,1.546,1.99,0.135,0.144,0.014,0.001,0.594,0.112
580761,2.386,1.95,0.139,0.13,0.016,0.003,0.589,0.123
581761,1.159,2.04,0.126,0.149,0.022,0.001,0.575,0.127
582761,4.1414,2.29,0.122,0.163,0.025,0.002,0.566,0.122
583761,3.774,2.0,0.144,0.15,0.028,0.001,0.557,0.12
584761,5.2984,2.03,0.137,0.152,0.03,0.003,0.561,0.117
585761,1.254,2.04,0.122,0.163,0.027,0.0,0.566,0.122
586761,2.562,1.93,0.148,0.143,0.024,0.0,0.575,0.11
587761,1.8068,2.15,0.12,0.175,0.026,0.002,0.547,0.13
588761,1.836,2.02,0.154,0.127,0.029,0.002,0.58,0.108
589761,0.137,2.0,0.128,0.156,0.024,0.0,0.571,0.121
590761,0.5026,2.01,0.137,0.158,0.025,0.001,0.565,0.114
591761,3.676,1.82,0.147,0.137,0.033,0.002,0.57,0.111
592761,1.9826,1.91,0.163,0.127,0.042,0.003,0.562,0.103
593761,4.733,1.94,0.144,0.146,0.035,0.002,0.561,0.112
594761,1.739,1.95,0.143,0.145,0.029,0.006,0.565,0.112
595761,3.503,2.01,0.135,0.16,0.04,0.0,0.552,0.113
596761,0.9644,2.0,0.142,0.143,0.034,0.004,0.565,0.112
597761,3.949,2.08,0.136,0.145,0.021,0.001,0.575,0.122
598761,3.445,2.05,0.142,0.152,0.024,0.002,0.56,0.12
599761,0.699,1.97,0.15,0.126,0.03,0.003,0.574,0.117
600761,4.267,2.01,0.157,0.126,0.035,0.005,0.562,0.115
601761,2.943,1.89,0.173,0.107,0.035,0.003,0.566,0.116
602761,3.405,2.09,0.139,0.147,0.028,0.002,0.556,0.128
603761,2.816,1.97,0.145,0.133,0.03,0.002,0.562,0.128
604761,3.7514,2.17,0.128,0.144,0.022,0.003,0.57,0.133
605761,5.001,1.9,0.131,0.15,0.018,0.002,0.575,0.124
606761,2.519,1.9,0.126,0.143,0.017,0.002,0.579,0.133
607761,4.544,2.07,0.132,0.14,0.025,0.005,0.57,0.128
608761,2.3318,2.11,0.118,0.154,0.022,0.002,0.569,0.135
609761,2.688,1.91,0.154,0.124,0.018,0.002,0.576,0.126
610761,5.3124,1.88,0.129,0.139,0.027,0.003,0.567,0.135
611761,2.3882,2.01,0.139,0.141,0.019,0.004,0.573,0.124
612761,1.635,2.12,0.14,0.118,0.012,0.003,0.6,0.127
613761,3.073,2.15,0.121,0.142,0.015,0.003,0.585,0.134
614761,4.989,2.23,0.118,0.143,0.008,0.005,0.585,0.141
615761,3.409,1.91,0.14,0.138,0.012,0.0,0.588,0.122
616761,4.718,2.04,0.134,0.125,0.014,0.002,0.594,0.131
617761,4.364,1.85,0.146,0.133,0.018,0.001,0.576,0.126
618761,2.104,2.0,0.131,0.142,0.011,0.004,0.582,0.13
619761,1.779,1.97,0.142,0.137,0.005,0.0,0.585,0.131
620761,2.293,1.9,0.146,0.116,0.014,0.004,0.591,0.129
621761,2.942,2.11,0.133,0.146,0.013,0.003,0.575,0.13
622761,4.0344,2.06,0.126,0.144,0.017,0.002,0.582,0.129
623761,5.805,1.95,0.127,0.152,0.005,0.002,0.573,0.141
624761,2.437,2.02,0.126,0.148,0.012,0.004,0.572,0.138
625761,3.644,1.93,0.126,0.14,0.01,0.001,0.58,0.143
626761,3.924,1.99,0.118,0.153,0.009,0.002,0.579,0.139
627761,2.897,1.95,0.141,0.137,0.016,0.001,0.563,0.142
628761,0.547,2.04,0.113,0.167,0.008,0.001,0.558,0.153
629761,3.374,2.08,0.128,0.146,0.019,0.001,0.57,0.136
630761,3.113,2.09,0.12,0.153,0.022,0.003,0.557,0.145
631761,4.8,1.93,0.147,0.126,0.011,0.003,0.584,0.129
632761,3.627,2.02,0.133,0.134,0.018,0.0,0.575,0.14
633761,0.544,2.02,0.125,0.133,0.012,0.005,0.577,0.148
634761,2.877,2.09,0.137,0.136,0.01,0.008,0.574,0.135
635761,4.992,2.1,0.127,0.149,0.015,0.001,0.569,0.139
636761,0.731,1.86,0.147,0.123,0.013,0.003,0.584,0.13
637761,5.713,2.0,0.143,0.144,0.015,0.004,0.561,0.133
638761,1.878,2.01,0.116,0.157,0.013,0.005,0.564,0.145
639761,2.972,2.09,0.15,0.136,0.02,0.001,0.561,0.132
640761,2.435,2.02,0.138,0.128,0.025,0.007,0.559,0.143
641761,3.51,2.0,0.133,0.145,0.013,0.001,0.581,0.127
642761,4.091,2.05,0.144,0.139,0.018,0.004,0.563,0.132
643761,2.705,1.88,0.138,0.144,0.019,0.003,0.565,0.131
644761,4.639,2.16,0.119,0.144,0.024,0.004,0.559,0.15
645761,3.249,2.03,0.127,0.143,0.009,0.002,0.574,0.145
646761,3.153,1.99,0.144,0.139,0.013,0.002,0.573,0.129
647761,2.712,1.91,0.139,0.142,0.013,0.003,0.57,0.133
